Version 3.18 - Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
098,DRG,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,N,"$2,921.44 ","$7,016.70 ","$4,812.48 ","$7,016.70 ",20160101
099,DRG,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,N,"$2,759.22 ","$7,152.14 ","$4,136.85 ","$7,152.14 ",20160101
100,DRG,SEIZURES W MCC,N,"$3,010.27 ","$7,861.27 ","$5,571.13 ","$7,861.27 ",20160101
101,DRG,SEIZURES W/O MCC,N,"$3,111.52 ","$7,134.37 ","$4,960.27 ","$7,134.37 ",20160101
102,DRG,HEADACHES W MCC,N,"$2,970.26 ","$8,331.62 ","$5,248.63 ","$8,331.62 ",20160101
103,DRG,HEADACHES W/O MCC,N,"$2,405.71 ","$7,299.18 ","$4,153.88 ","$7,299.18 ",20160101
113,DRG,ORBITAL PROCEDURES W CC/MCC,S,"$3,829.97 ","$13,553.67 ","$7,378.27 ","$13,553.67 ",20160101
114,DRG,ORBITAL PROCEDURES W/O CC/MCC,S,"$3,340.09 ","$16,960.08 ","$6,803.86 ","$16,960.08 ",20160101
115,DRG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,S,"$3,386.01 ","$11,189.82 ","$6,326.84 ","$11,189.82 ",20160101
116,DRG,INTRAOCULAR PROCEDURES W CC/MCC,S,"$3,162.90 ","$9,781.72 ","$5,620.87 ","$9,781.72 ",20160101
117,DRG,INTRAOCULAR PROCEDURES W/O CC/MCC,S,"$3,323.02 ","$14,781.20 ","$7,197.02 ","$14,781.20 ",20160101
121,DRG,ACUTE MAJOR EYE INFECTIONS W CC/MCC,N,"$3,079.76 ","$4,918.46 ","$5,158.66 ","$4,918.46 ",20160101
122,DRG,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,N,"$2,530.98 ","$3,780.62 ","$4,899.76 ","$3,780.62 ",20160101
123,DRG,NEUROLOGICAL EYE DISORDERS,N,"$2,999.46 ","$10,132.46 ","$4,653.64 ","$10,132.46 ",20160101
124,DRG,OTHER DISORDERS OF THE EYE W MCC,N,"$3,484.76 ","$7,118.53 ","$5,737.45 ","$7,118.53 ",20160101
125,DRG,OTHER DISORDERS OF THE EYE W/O MCC,N,"$3,144.51 ","$6,059.98 ","$4,937.29 ","$6,059.98 ",20160101
129,DRG,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,S,"$3,668.32 ","$18,638.35 ","$6,708.19 ","$18,638.35 ",20160101
130,DRG,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,S,"$3,345.79 ","$21,547.89 ","$5,937.86 ","$21,547.89 ",20160101
131,DRG,CRANIAL/FACIAL PROCEDURES W CC/MCC,S,"$3,847.96 ","$18,459.29 ","$7,496.75 ","$18,459.29 ",20160101
132,DRG,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,S,"$5,023.29 ","$29,725.16 ","$9,361.13 ","$29,725.16 ",20160101
133,DRG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",S,"$3,082.68 ","$12,192.64 ","$5,885.50 ","$12,192.64 ",20160101
134,DRG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",S,"$3,135.14 ","$17,326.09 ","$5,781.99 ","$17,326.09 ",20160101
135,DRG,SINUS & MASTOID PROCEDURES W CC/MCC,S,"$2,768.18 ","$12,646.44 ","$5,309.42 ","$12,646.44 ",20160101
136,DRG,SINUS & MASTOID PROCEDURES W/O CC/MCC,S,"$3,166.01 ","$19,444.09 ","$5,620.61 ","$19,444.09 ",20160101
137,DRG,MOUTH PROCEDURES W CC/MCC,S,"$2,997.90 ","$9,046.72 ","$6,186.71 ","$9,046.72 ",20160101
138,DRG,MOUTH PROCEDURES W/O CC/MCC,S,"$3,493.74 ","$14,254.92 ","$6,053.29 ","$14,254.92 ",20160101
139,DRG,SALIVARY GLAND PROCEDURES,S,"$3,564.08 ","$23,888.80 ","$5,818.69 ","$23,888.80 ",20160101
146,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",N,"$2,910.40 ","$6,261.07 ","$5,418.56 ","$6,261.07 ",20160101
147,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",N,"$3,112.39 ","$6,433.63 ","$5,234.17 ","$6,433.63 ",20160101
148,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",N,"$2,521.52 ","$6,222.48 ","$4,900.85 ","$6,222.48 ",20160101
149,DRG,DYSEQUILIBRIUM,N,"$3,107.39 ","$8,618.37 ","$4,855.25 ","$8,618.37 ",20160101
150,DRG,EPISTAXIS W MCC,N,"$2,928.32 ","$6,536.75 ","$5,100.92 ","$6,536.75 ",20160101
151,DRG,EPISTAXIS W/O MCC,N,"$2,775.38 ","$5,065.79 ","$4,778.91 ","$5,065.79 ",20160101
152,DRG,OTITIS MEDIA & URI W MCC,N,"$3,129.10 ","$6,395.72 ","$5,115.40 ","$6,395.72 ",20160101
153,DRG,OTITIS MEDIA & URI W/O MCC,N,"$2,671.19 ","$5,247.82 ","$4,340.91 ","$5,247.82 ",20160101
154,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",N,"$2,790.91 ","$6,513.66 ","$5,127.32 ","$6,513.66 ",20160101
155,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",N,"$2,795.79 ","$6,031.35 ","$4,888.57 ","$6,031.35 ",20160101
156,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",N,"$2,642.02 ","$5,847.53 ","$4,893.65 ","$5,847.53 ",20160101
157,DRG,DENTAL & ORAL DISEASES W MCC,N,"$2,964.10 ","$6,858.27 ","$5,248.07 ","$6,858.27 ",20160101
158,DRG,DENTAL & ORAL DISEASES W CC,N,"$2,834.81 ","$5,843.34 ","$4,789.90 ","$5,843.34 ",20160101
159,DRG,DENTAL & ORAL DISEASES W/O CC/MCC,N,"$3,191.91 ","$7,187.27 ","$5,512.46 ","$7,187.27 ",20160101
163,DRG,MAJOR CHEST PROCEDURES W MCC,S,"$2,890.16 ","$11,076.22 ","$5,227.80 ","$11,076.22 ",20160101
164,DRG,MAJOR CHEST PROCEDURES W CC,S,"$3,366.68 ","$13,319.26 ","$5,140.53 ","$13,319.26 ",20160101
165,DRG,MAJOR CHEST PROCEDURES W/O CC/MCC,S,"$2,950.60 ","$14,992.62 ","$4,494.01 ","$14,992.62 ",20160101
166,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,S,"$2,748.83 ","$8,826.44 ","$4,916.51 ","$8,826.44 ",20160101
167,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,S,"$2,911.34 ","$9,639.31 ","$4,908.71 ","$9,639.31 ",20160101
168,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,S,"$2,779.54 ","$11,676.29 ","$4,624.39 ","$11,676.29 ",20160101
175,DRG,PULMONARY EMBOLISM W MCC,N,"$2,566.24 ","$6,495.19 ","$4,355.65 ","$6,495.19 ",20160101
176,DRG,PULMONARY EMBOLISM W/O MCC,N,"$2,549.06 ","$6,019.04 ","$4,190.54 ","$6,019.04 ",20160101
177,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,N,"$2,665.82 ","$6,306.34 ","$4,669.13 ","$6,306.34 ",20160101
178,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,N,"$2,635.61 ","$5,702.34 ","$4,539.85 ","$5,702.34 ",20160101
179,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,N,"$2,511.18 ","$5,368.32 ","$4,511.15 ","$5,368.32 ",20160101
180,DRG,RESPIRATORY NEOPLASMS W MCC,N,"$2,744.89 ","$7,058.85 ","$4,670.71 ","$7,058.85 ",20160101
181,DRG,RESPIRATORY NEOPLASMS W CC,N,"$2,750.62 ","$6,685.75 ","$4,494.99 ","$6,685.75 ",20160101
182,DRG,RESPIRATORY NEOPLASMS W/O CC/MCC,N,"$1,558.60 ","$4,388.70 ","$2,536.69 ","$4,388.70 ",20160101
183,DRG,MAJOR CHEST TRAUMA W MCC,N,"$2,877.35 ","$6,546.57 ","$5,777.75 ","$6,546.57 ",20160101
184,DRG,MAJOR CHEST TRAUMA W CC,N,"$3,346.45 ","$7,859.68 ","$6,838.14 ","$7,859.68 ",20160101
185,DRG,MAJOR CHEST TRAUMA W/O CC/MCC,N,"$3,001.61 ","$6,900.18 ","$6,130.05 ","$6,900.18 ",20160101
186,DRG,PLEURAL EFFUSION W MCC,N,"$2,585.20 ","$6,598.56 ","$4,345.43 ","$6,598.56 ",20160101
187,DRG,PLEURAL EFFUSION W CC,N,"$2,852.25 ","$6,717.31 ","$4,550.82 ","$6,717.31 ",20160101
188,DRG,PLEURAL EFFUSION W/O CC/MCC,N,"$2,461.84 ","$6,183.78 ","$4,073.90 ","$6,183.78 ",20160101
189,DRG,PULMONARY EDEMA & RESPIRATORY FAILURE,N,"$2,422.32 ","$5,712.25 ","$4,259.25 ","$5,712.25 ",20160101
190,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,N,"$2,326.79 ","$5,596.08 ","$4,056.12 ","$5,596.08 ",20160101
191,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,N,"$2,292.21 ","$5,374.81 ","$3,935.63 ","$5,374.81 ",20160101
192,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,N,"$2,081.74 ","$4,961.99 ","$3,748.69 ","$4,961.99 ",20160101
193,DRG,SIMPLE PNEUMONIA & PLEURISY W MCC,N,"$2,476.53 ","$6,234.35 ","$4,329.13 ","$6,234.35 ",20160101
194,DRG,SIMPLE PNEUMONIA & PLEURISY W CC,N,"$2,380.70 ","$5,368.88 ","$4,117.87 ","$5,368.88 ",20160101
195,DRG,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,N,"$2,067.90 ","$4,650.69 ","$3,755.24 ","$4,650.69 ",20160101
196,DRG,INTERSTITIAL LUNG DISEASE W MCC,N,"$2,750.63 ","$6,012.75 ","$4,799.85 ","$6,012.75 ",20160101
197,DRG,INTERSTITIAL LUNG DISEASE W CC,N,"$2,738.34 ","$5,850.35 ","$4,556.99 ","$5,850.35 ",20160101
198,DRG,INTERSTITIAL LUNG DISEASE W/O CC/MCC,N,"$2,507.39 ","$5,841.67 ","$4,216.66 ","$5,841.67 ",20160101
199,DRG,PNEUMOTHORAX W MCC,N,"$2,623.98 ","$6,001.53 ","$4,695.29 ","$6,001.53 ",20160101
200,DRG,PNEUMOTHORAX W CC,N,"$2,653.01 ","$5,883.91 ","$4,617.97 ","$5,883.91 ",20160101
201,DRG,PNEUMOTHORAX W/O CC/MCC,N,"$2,128.27 ","$4,595.27 ","$3,701.79 ","$4,595.27 ",20160101
202,DRG,BRONCHITIS & ASTHMA W CC/MCC,N,"$2,574.56 ","$5,601.21 ","$4,418.95 ","$5,601.21 ",20160101
203,DRG,BRONCHITIS & ASTHMA W/O CC/MCC,N,"$2,317.41 ","$4,837.91 ","$4,070.97 ","$4,837.91 ",20160101
204,DRG,RESPIRATORY SIGNS & SYMPTOMS,N,"$2,679.89 ","$7,326.09 ","$4,346.02 ","$7,326.09 ",20160101
205,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,N,"$2,812.32 ","$7,055.72 ","$4,923.79 ","$7,055.72 ",20160101
206,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,N,"$2,953.38 ","$7,458.89 ","$5,008.17 ","$7,458.89 ",20160101
207,DRG,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,N,"$2,723.97 ","$8,258.46 ","$5,187.21 ","$8,258.46 ",20160101
208,DRG,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,N,"$2,658.88 ","$9,020.96 ","$5,185.03 ","$9,020.96 ",20160101
215,DRG,OTHER HEART ASSIST SYSTEM IMPLANT,S,"$3,000.12 ","$29,311.68 ","$6,472.72 ","$29,311.68 ",20160101
216,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,S,"$3,704.01 ","$20,775.04 ","$6,251.58 ","$20,775.04 ",20160101
217,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,S,"$3,828.44 ","$23,334.50 ","$6,042.73 ","$23,334.50 ",20160101
218,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,S,"$3,750.70 ","$28,129.37 ","$5,949.37 ","$28,129.37 ",20160101
219,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,S,"$3,615.36 ","$22,867.35 ","$6,409.47 ","$22,867.35 ",20160101
220,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,S,"$3,408.80 ","$24,936.98 ","$5,821.83 ","$24,936.98 ",20160101
221,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,S,"$3,091.73 ","$27,741.84 ","$5,165.07 ","$27,741.84 ",20160101
222,DRG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,S,"$3,171.64 ","$22,992.91 ","$5,362.50 ","$22,992.91 ",20160101
