25,TRUE,2019-01-17,VERIFIED,GMRC*3*117,97,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,TRUE,2019-01-17,VERIFIED,XOBV*1.6*3,2,ROUTINE,VISTALINK,6/13/19-ALLOWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TRUE,2019-01-17,VERIFIED,XOBS*1.6.3,2,ROUTINE,VISTA SECURITY,6/13/19-ALLOWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,TRUE,2019-01-23,VERIFIED,OR*3*493,418,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TRUE,2019-01-23,VERIFIED,GMRC*3*110,98,ROUTINE,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TRUE,2019-01-23,VERIFIED,PSJ*5*378,325,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TRUE,2019-01-24,VERIFIED,MHV*1*39,32,INFORMATIONAL,MY HEALTHEVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,TRUE,2019-01-24,VERIFIED,PRC*5.1*206,183,INFORMATIONAL,IFCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TRUE,2019-01-25,VERIFIED,PSS*1*225,201,DATA DICTIONARY,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,TRUE,2019-01-25,VERIFIED,PSB*3*103,93,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TRUE,2019-01-25,VERIFIED,PSO*7*547,449,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,TRUE,2019-01-28,VERIFIED,PSO*7*537,450,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TRUE,2019-01-29,VERIFIED,MAG*3*217,168,ROUTINE,VISTA IMAGING,MAG3_0P217_scrubbed.zip,2019-01-29,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TRUE,2019-01-29,VERIFIED,VPR*1*12,9,ROUTINE,VIRTUAL PATIENT RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TRUE,2019-01-29,VERIFIED,IVM*2*175,145,INFORMATIONAL,INCOME VERIFICATION MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TRUE,2019-01-29,VERIFIED,DG*5.3*966,853,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TRUE,2019-01-29,VERIFIED,IVM*2*172,146,ROUTINE,INCOME VERIFICATION MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TRUE,2019-01-31,VERIFIED,FH*5.5*43,45,ROUTINE,NUTRITION AND FOOD SERVICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TRUE,2019-01-31,VERIFIED,OR*3*479,419,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TRUE,2019-02-01,VERIFIED,ORRC*1*12,9,OTHER,CARE MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TRUE,2019-02-04,VERIFIED,PSO*7*532,451,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,TRUE,2019-02-04,VERIFIED,DI*22.2*9,10,ROUTINE,VISTA FILEMAN,DI_222_9_VPR_1_8.KIDs,2019-02-04,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TRUE,2019-02-04,VERIFIED,VPR*1*8,10,ROUTINE,VIRTUAL PATIENT RECORD,DI_222_9_VPR_1_8.KIDs,2019-02-04,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TRUE,2019-02-04,VERIFIED,MD*1*64,49,OTHER,CLINICAL PROCEDURES,"MD_1_64scrubbed.ZIP
MD_1_64_SRCscrubbed.ZIP",2019-02-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,TRUE,2019-02-05,VERIFIED,RMPR*3*198,174,ROUTINE,PROSTHETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,TRUE,2019-02-08,VERIFIED,WEBE*2.9*1,1,INFORMATIONAL,COMMUNITY VIEWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,FALSE,2019-02-08,VERIFIED,DSIY*1.4*0,NEW,ENHANCEMENT,ABOVE PAR,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,TRUE,2019-02-11,VERIFIED,PSD*3*87,72,PATCH FOR PATCH,CONTROLLED SUBSTANCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,TRUE,2019-02-12,VERIFIED,IVM*2*177,147,ROUTINE,INCOME VERIFICATION MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,TRUE,2019-02-13,VERIFIED,LR*5.2*504,417,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,TRUE,2019-02-13,VERIFIED,PSS*1*231,202,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,TRUE,2019-02-14,VERIFIED,WEBD*1.11*2,2,INFORMATIONAL,DIRECT SECURE MESSAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,TRUE,2019-02-14,VERIFIED,OR*3*489,420,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,TRUE,2019-02-15,VERIFIED,GMRC*3*113,99,DATA DICTIONARY,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,TRUE,2019-02-19,VERIFIED,EAS*1*173,145,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,FALSE,2019-02-19,VERIFIED,DSIF*3.2*54,35,ENHANCEMENT,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,TRUE,2019-02-20,VERIFIED,PSO*7*481,452,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,TRUE,2019-02-20,VERIFIED,MAG*3*201,169,ROUTINE,VISTA IMAGING,MAG3_0P201_scrubbed,2019-03-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,TRUE,2019-02-20,VERIFIED,XU*8*703,549,DATA DICTIONARY,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,TRUE,2019-02-21,VERIFIED,MBAA*1*7,5,ROUTINE,MOBILE SCHEDULING APPLICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,TRUE,2019-02-21,VERIFIED,PSJ*5*381,326,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,TRUE,2019-02-25,VERIFIED,RMPR*3*199,175,ROUTINE,PROSTHETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,TRUE,2019-02-25,VERIFIED,MAG*3*219,170,ROUTINE,VISTA IMAGING,MAG3_0P219_scrubbed.KID,2019-03-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,TRUE,2019-02-28,VERIFIED,ONC*2.2*11,8,PATCH FOR PATCH,ONCOLOGY,ONC22P11.KIDs,2019-03-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,TRUE,2019-03-04,VERIFIED,DG*5.3*951,854,ENHANCEMENT,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,TRUE,2019-03-04,VERIFIED,OR*3*472,421,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,TRUE,2019-03-05,VERIFIED,YS*5.01*123,105,ROUTINE,MENTAL HEALTH,"YS_501_123.KIDs
YS_501_123_scrubbed.ZIP",2019-03-11,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,TRUE,2019-03-05,VERIFIED,IB*2*637,581,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,TRUE,2019-03-05,VERIFIED,PRCA*4.5*336,302,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,TRUE,2019-03-06,VERIFIED,DVBA*2.7*210,178,ROUTINE,AMIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,TRUE,2019-03-07,VERIFIED,PSJ*5*383,327,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,FALSE,2019-03-07,VERIFIED,DENT*1.2*73,71,ENHANCEMENT,DENTAL,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,TRUE,2019-03-07,VERIFIED,HDS*1*23,20,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,TRUE,2019-03-08,VERIFIED,LR*5.2*513,48,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,TRUE,2019-03-11,VERIFIED,EAS*1*177,146,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,TRUE,2019-03-11,VERIFIED,VPR*1*13,11,ROUTINE,VIRTUAL PATIENT RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,TRUE,2019-03-11,VERIFIED,GMTS*2.7*126,114,ROUTINE,HEALTH SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,TRUE,2019-03-11,VERIFIED,SPN*3*7,1,ROUTINE,SPINAL CORD DYSFUNCTION,DECOMMISSIONED 4/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,FALSE,2019-03-11,VERIFIED,DSIF*3.2*60,36,ENHANCEMENT,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,TRUE,2019-03-12,VERIFIED,MAG*3*218,171,OTHER,VISTA IMAGING,MAG3_0P218_SCRUBBED.ZIP,2019-03-13,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,TRUE,2019-03-13,VERIFIED,PSS*1*232,203,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,TRUE,2019-03-13,VERIFIED,RA*5*150,135,ROUTINE,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,TRUE,2019-03-14,VERIFIED,SD*5.3*721,581,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,TRUE,2019-03-18,VERIFIED,MD*1*66,50,OTHER,CLINICAL PROCEDURES,MD_1_66_scrubbed.zip,2019-03-18,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,FALSE,2019-03-18,VERIFIED,DSIF*4.1,NEW,ENHANCEMENT,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,TRUE,2019-03-19,VERIFIED,PSO*7*522,453,INFORMATIONAL,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TRUE,2019-03-19,VERIFIED,BPS*1*25,23,ENHANCEMENT,HIPPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,TRUE,2019-03-19,VERIFIED,PRCA*4.5*346,303,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,TRUE,2019-03-20,VERIFIED,PSN*4*566,548,ROUTINE,NATIONAL DRUG FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,TRUE,2019-03-20,VERIFIED,MAG*3*223,172,ROUTINE,VISTA IMAGING,MAG3_0P223_scrubbed.zip,2019-03-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,TRUE,2019-03-20,VERIFIED,GMRC*3*119,100,ROUTINE,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,TRUE,2019-03-20,VERIFIED,RA*5*148,136,ROUTINE,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,TRUE,2019-03-20,VERIFIED,IB*2*602,582,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,TRUE,2019-03-25,VERIFIED,PSB*3*115,94,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,PSB_3_115.KIDs,2019-03-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,TRUE,2019-03-25,VERIFIED,WEBD*2.1*1,1,INFORMATIONAL,DIRECT SECURE MESSAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,FALSE,2019-03-25,VERIFIED,YS*5.01*137,106,ROUTINE,MENTAL HEALTH,ENTERED IN ERROR 4/3/19 - PULLED FROM FOIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,TRUE,2019-03-25,VERIFIED,LEX*2*121,112,ROUTINE,CLINICAL LEXICON,LEX_2_121.GBLs,2019-03-27,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,TRUE,2019-03-25,VERIFIED,ICPT*6*88,86,INFORMATIONAL,CPT CODES,LEX_2_121.GBLs,2019-03-27,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,TRUE,2019-03-25,VERIFIED,PSS*1*233,204,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,TRUE,2019-03-26,VERIFIED,EAS*1*166,147,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,TRUE,2019-03-27,VERIFIED,LR*5.2*514,419,DATA DICTIONARY,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,TRUE,2019-03-27,VERIFIED,LR*5.2*382,420,ROUTINE,LABORATORY,LR_52_515.KIDs,2019-03-27,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,TRUE,2019-03-27,VERIFIED,PSJ*5*382,328,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,TRUE,2019-03-27,VERIFIED,SR*3*193,183,ROUTINE,SURGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,TRUE,2019-03-28,VERIFIED,EC*2*146,138,ROUTINE,EVENT CAPTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,TRUE,2019-03-28,VERIFIED,ECX*3*172,156,ROUTINE,DSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,TRUE,2019-03-29,VERIFIED,MMRS*1*7,7,ROUTINE,MRSA INITIATIVE REPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TRUE,2019-03-29,VERIFIED,EAS*1*176,148,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,TRUE,2019-03-29,VERIFIED,MHV*1*41,33,INFORMATIONAL,MY HEALTHEVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,TRUE,2019-04-01,VERIFIED,PSO*7*541,454,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,TRUE,2019-04-02,VERIFIED,VIAB*1*14,14,ROUTINE,VISTA INTEGRATION ADAPTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,TRUE,2019-04-03,VERIFIED,RA*5*153,137,OTHER,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,TRUE,2019-04-03,VERIFIED,PSO*7*555,455,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,TRUE,2019-04-05,VERIFIED,PSO*7*538,456,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,TRUE,2019-04-05,VERIFIED,GMRC*3*121,101,ROUTINE,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
