25,TRUE,2017-01-20,VERIFIED,DGBT*1*31,32,OTHER,BENEFICIARY TRAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,TRUE,2017-01-20,VERIFIED,LR*5.2*464,380,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TRUE,2017-01-20,VERIFIED,PRS*4*149,135,ROUTINE,PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,TRUE,2017-01-23,VERIFIED,VSS*5*1,1,INFORMATIONAL,VOLUNTARY SERVICE SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TRUE,2017-01-23,VERIFIED,PRCA*4.5*312,277,ENHANCEMENT,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TRUE,2017-01-23,VERIFIED,PSJ*5*337,287,ROUTINE,INPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TRUE,2017-01-23,VERIFIED,DG*5.3*930,817,ROUTINE,REGISTRATION,DG_53_930.KID,2017-01-23,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,TRUE,2017-01-23,VERIFIED,EAS*1*144,117,ROUTINE,ENROLLMENT APPLICATION SYSTEM,DG_53_930.KID,2017-01-23,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TRUE,2017-01-23,VERIFIED,IB*2*583,536,ROUTINE,INTEGRATED BILLING,DG_53_930.KID,2017-01-23,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,TRUE,2017-01-24,VERIFIED,PSN*4*508,492,ROUTINE,NATIONAL DRUG FILE,NDF4P508.KID,2017-01-24,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TRUE,2017-01-24,VERIFIED,PSN*4*509,493,ROUTINE,NATIONAL DRUG FILE,NDF4P509.KIDs,2017-01-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,TRUE,2017-01-24,VERIFIED,PREN*1.1*5,5,INFORMATIONAL,PHARMACY PRODUCT SYSTEM-NATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TRUE,2017-01-24,VERIFIED,PSO*7*476,391,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TRUE,2017-01-24,VERIFIED,PRS*4*148,136,ROUTINE,PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TRUE,2017-01-30,VERIFIED,VIAB*1*8,8,ROUTINE,VISTA INTEGRATION ADAPTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TRUE,2017-01-31,VERIFIED,ONC*2.2*8,5,ROUTINE,ONCOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TRUE,2017-01-31,VERIFIED,EAS*1*146,118,ROUTINE,ENROLLMENT APPLICATION SYSTEM,EAS_1_P146.KID,2017-01-31,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TRUE,2017-02-01,VERIFIED,LR*5.2*482,381,PATCH FOR A PATCH,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TRUE,2017-02-02,VERIFIED,MMRS*1*4,4,ROUTINE,MRSA INITIATIVE REPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TRUE,2017-02-02,VERIFIED,LR*5.2*470,382,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TRUE,2017-02-02,VERIFIED,PSJ*5*331,212,ROUTINE,INPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,TRUE,2017-02-06,VERIFIED,PSN*4*510,494,ROUTINE,NATIONAL DRUG FILE,NDF4P510.KIDs,2017-02-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TRUE,2017-02-06,VERIFIED,MAG*3*151,126,OTHER,VISTA IMAGING,MAG3_0P151.KIDs,2017-02-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TRUE,2017-02-06,VERIFIED,PSB*3*97,79,ROUTINE,BAR CODE MED ADMINISTRATION,"PSB3_0P97_scrubbed.zip
PSB3_0P97_SRC_scrubbed.zip",2017-02-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,TRUE,2017-02-07,VERIFIED,MAG*3*167,127,OTHER,VISTA IMAGING,MAG3_0P167.KIDs,2017-02-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,TRUE,2017-02-09,VERIFIED,HMP*2*9,7,OTHER,HEALTH MANAGEMENT PLATFORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,TRUE,2017-02-13,VERIFIED,MAG*3*165,128,INFORMATIONAL,VISTA IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,TRUE,2017-02-14,VERIFIED,SR*3*187,179,ROUTINE,SURGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,TRUE,2017-02-15,VERIFIED,PSO*7*459,392,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,TRUE,2017-02-16,VERIFIED,WEBB*2*5,5,INFORMATIONAL,BED MANAGEMENT SOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,FALSE,2017-02-16,VERIFIED,DSIR*8.2*11,11,ROUTINE,RELEASE OF INFORMATION,PROHIBITED BY COPYRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,TRUE,2017-02-17,VERIFIED,RG*1*66,65,ROUTINE,CIRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,TRUE,2017-02-21,VERIFIED,PSN*4*511,495,ROUTINE,NATIONAL DRUG FILE,NDF4P511.KIDs,2017-02-21,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,TRUE,2017-02-21,VERIFIED,PSN*4*512,496,ROUTINE,NATIONAL DRUG FILE,NDF4P512.KIDs,2017-02-21,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,TRUE,2017-02-21,VERIFIED,EAS*1*145,119,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,TRUE,2017-02-21,VERIFIED,PSJ*5*325,289,ROUTINE,INPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,TRUE,2017-02-23,VERIFIED,WEBP*1*10,10,INFORMATIONAL,PCMM (PATIENT CENTERED MANAGEMENT MODULE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,TRUE,2017-02-27,VERIFIED,OHRS*1.4*15,15,INFORMATIONAL,OCCUPATIONAL HEALTH RECORD KEEPING SYSTEM (OHRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,TRUE,2017-02-28,VERIFIED,MBAA*1*2,2,INFORMATIONAL,MOBILE SCHEDULING APPLICATIONS SUITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,TRUE,2017-03-01,VERIFIED,XU*8*665,526,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,TRUE,2017-03-01,VERIFIED,HDI*1*15,11,ENHANCEMENT,HEALTH DATA AND INFORMATICS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,TRUE,2017-03-01,VERIFIED,XU*8*666,527,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,TRUE,2017-03-01,VERIFIED,HDI*1*16,12,ENHANCEMENT,HEALTH DATA AND INFORMATICS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,TRUE,2017-03-02,VERIFIED,LEX*2*109,100,ENHANCEMENT,CLINICAL LEXICON,LEX_2_109.GBLs,2017-03-02,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,TRUE,2017-03-02,VERIFIED,ICPT*6*78,76,INFORMATIONAL,CPT CODES,LEX_2_109.GBLs,2017-03-02,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,TRUE,2017-03-03,VERIFIED,SR*3*189,180,DATA DICTIONARY,SURGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,TRUE,2017-03-06,VERIFIED,PSN*4*514,497,ROUTINE,NATIONAL DRUG FILE,NDF4P514.KIDs,2017-03-06,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,TRUE,2017-03-06,VERIFIED,OR*3*415,373,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,TRUE,2017-03-06,VERIFIED,RA*5*127,115,DATA DICTIONARY,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,TRUE,2017-03-06,VERIFIED,RA*5*134,116,INFORMATIONAL,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,TRUE,2017-03-07,VERIFIED,LR*5.2*468,383,ENHANCEMENT,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,TRUE,2017-03-07,VERIFIED,LA*5.2*92,69,ROUTINE,LAB INSTRUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,TRUE,2017-03-08,VERIFIED,LR*5.2*481,384,INFORMATIONAL,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,TRUE,2017-03-08,VERIFIED,GMRV*5*35,24,DATA DICTIONARY,VITALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,TRUE,2017-03-09,VERIFIED,SD*5.3*661,541,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,TRUE,2017-03-09,VERIFIED,HDS*1*9,6,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,TRUE,2017-03-10,VERIFIED,DG*5.3*887,818,DATA DICTIONARY,REGISTRATION,PATIENT_PREFERRED_LANG.KID,2017-03-13,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,TRUE,2017-03-10,VERIFIED,SD*5.3*619,49,ROUTINE,SCHEDULING,PATIENT_PREFERRED_LANG.KID,2017-03-13,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,TRUE,2017-03-13,VERIFIED,PXRM*2*35,49,ROUTINE,CLINICAL REMINDERS,PXRM_2_0__35.KIDs,2017-03-13,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,TRUE,2017-03-13,VERIFIED,VIAA*1*1,2,ROUTINE,REAL TIME LOCATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,TRUE,2017-03-13,VERIFIED,VIAA*1*4,3,ROUTINE,REAL TIME LOCATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,TRUE,2017-03-14,VERIFIED,LR*5.2*479,385,ROUTINE,LABORATORY,LR-5_2-479 SEQ-385 DEFECT.TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,TRUE,2017-03-15,VERIFIED,SD*5.3*657,543,OTHER,SCHEDULING,SD53_657_EC20_135.KID,2017-03-14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,TRUE,2017-03-15,VERIFIED,EC*2*135,127,ROUTINE,EVENT CAPTURE,SD53_657_EC20_135.KID,2017-03-14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,TRUE,2017-03-16,VERIFIED,OR*3*420,374,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,FALSE,2017-03-16,VERIFIED,XMDB*1,NEW,OTHER,MAILMAN DOMAIN UPDATES,PROHIBITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TRUE,2017-03-20,VERIFIED,PSN*4*515,498,ROUTINE,NATIONAL DRUG FILE,NDF4P515.KID,2017-03-20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,TRUE,2017-03-20,VERIFIED,PSN*4*516,499,ROUTINE,NATIONAL DRUG FILE,NDF4P516.KIDs,2017-03-20,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,TRUE,2017-03-20,VERIFIED,ECX*3*165,148,ROUTINE,DSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,TRUE,2017-03-21,VERIFIED,RA*5*133,117,ROUTINE,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,FALSE,2017-03-21,VERIFIED,DSIF*3.2*53,33,ENHANCEMENT,FEE BASIS CLAIMS SERVICE,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,TRUE,2017-03-22,VERIFIED,LR*5.2*480,386,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,TRUE,2017-03-22,VERIFIED,TIU*1*308,274,INFORMATIONAL,TEXT INTEGRATION UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,TRUE,2017-03-22,VERIFIED,PRCA*4.5*317,278,ENHANCEMENT,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,TRUE,2017-03-22,VERIFIED,IB*2*584,537,ENHANCEMENT,INTEGRATED BILLING,IBRC1701A-F.TXT,2017-03-27,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,TRUE,2017-03-24,VERIFIED,MHV*1*31,23,INFORMATIONAL,MYHEALTHEVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,TRUE,2017-03-27,VERIFIED,HDS*1*10,7,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,TRUE,2017-03-27,VERIFIED,XWB*1.1*65,51,INFORMATIONAL,RPC BROKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,TRUE,2017-03-27,VERIFIED,PRED*3*2,2,INFORMATIONAL,DATUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,TRUE,2017-03-28,VERIFIED,RA*5*130,118,DATA DICTIONARY,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,TRUE,2017-03-28,VERIFIED,DI*22.2*2,4,ROUTINE,VA FILEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,TRUE,2017-03-29,VERIFIED,LR*5.2*483,387,PATCH FOR A PATCH,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,TRUE,2017-03-29,VERIFIED,IB*2*590,538,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,TRUE,2017-03-29,VERIFIED,PSO*7*480,593,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,TRUE,2017-03-29,VERIFIED,IB*2*589,539,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,TRUE,2017-03-29,VERIFIED,HL*1.6*165,132,ROUTINE,HEALTH LEVEL 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,TRUE,2017-03-30,VERIFIED,WEBP*1*11,11,INFORMATIONAL,PCMM (PATIENT CENTERED MANAGEMENT MODULE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TRUE,2017-03-30,VERIFIED,RMIM*1*8,8,OTHER,FUNCTIONAL INDEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,TRUE,2017-03-31,VERIFIED,IB*2*586,540,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,TRUE,2017-03-31,VERIFIED,CRHD*1*6,3,INFORMATIONAL,SHIFT HANDOFF TOOL,CRHD_1_6_scrubbed.ZIP,2017-03-31,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,TRUE,2017-03-31,VERIFIED,VIAA*1*5,4,INFORMATIONAL,REAL TIME LOCATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,TRUE,2017-03-31,VERIFIED,OOPS*2*29,28,OTHER,ASSITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,TRUE,2017-04-03,VERIFIED,WEBA*2.6*2,2,INFORMATIONAL,VETERANS AUTHORIZATION AND PREFERENCES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,TRUE,2017-04-03,VERIFIED,PSO*7*468,394,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,TRUE,2017-04-03,VERIFIED,PRCA*4.5*322,279,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,TRUE,2017-04-04,VERIFIED,PRCA*4.5*310,280,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,TRUE,2017-04-04,VERIFIED,IB*2*554,541,DATA DICTIONARY,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,TRUE,2017-04-04,VERIFIED,FB*3.5*163,145,ROUTINE,FEE BASIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,TRUE,2017-04-05,VERIFIED,PSO*7*465,395,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,TRUE,2017-04-06,VERIFIED,DG*5.3*928,819,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,TRUE,2017-04-10,VERIFIED,PSN*4*517,500,ROUTINE,NATIONAL DRUG FILE,NDF4_517.KIDs,2017-04-10,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,TRUE,2017-04-10,VERIFIED,VIAB*1*10,9,ROUTINE,VISTA INTEGRATION ADAPTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,FALSE,2017-04-11,VERIFIED,RA*5*139,119,INFORMATIONAL,RADIOLOGY,PULLED AND REPLACED WITH RA*5*140 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,TRUE,2017-04-11,VERIFIED,PRCA*4.5*323,281,ROUTINE,ACCOUNTS RECEIVABLE,,,
129,TRUE,2017-04-11,VERIFIED,RA*5*140,120,INFORMATIONAL,RADIOLOGY,,,
130,TRUE,2017-04-12,VERIFIED,DI*22.2*7,5,ROUTINE,VA FILEMAN,,,
131,TRUE,2017-04-13,VERIFIED,WEBI*9.5*1,1,INFORMATIONAL,INTEGRATED HOME TELEHEALTH APPLICATION,,,
132,TRUE,2017-04-13,VERIFIED,JLV*2.5*2,2,INFORMATIONAL,JOINT LEGACY VIEWER,,,
139,TRUE,2017-04-17,VERIFIED,DG*5.3*903,820,ROUTINE,REGISTRATION,,,
140,TRUE,2017-04-17,VERIFIED,EAS*1*147,120,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,
141,TRUE,2017-04-18,VERIFIED,GMRC*3*86,76,ROUTINE,CONSULT TRACKING,,,
142,TRUE,2017-04-18,VERIFIED,GMRC*3*87,77,INFORMATIONAL,CONSULT TRACKING,,,
