7.0,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",REDACTED INFO IN FOIA RELEASE,GUI OR EXE FILES
20,TRUE,2014-01-16,VERIFIED,PRC*5.1*173,155,ROUTINE,IFCAP,,YES,NO
21,TRUE,2014-01-16,VERIFIED,SD*5.3*607,501,INFORMATION,SCHEDULING,PCMM_SCRUBBED.ZIP,YES,YES
22,TRUE,2014-01-17,VERIFIED,MD*1*32,23,ROUTINE,CLINICAL PROCEDURES,,YES,NO
23,TRUE,2014-01-21,VERIFIED,ICD*18*71,65,ROUTINE,CPT CODES,,YES,NO
24,TRUE,2014-01-21,VERIFIED,PSB*3*73,64,ENHANCEMENT,BAR CODE ADMINISTRATION,PSB_3_73.KID,,NO
25,TRUE,2014-01-23,VERIFIED,PSN*4*385,371,ROUTINE,NATIONAL DRUG FILE,NDF4P385.KID,,NO
26,TRUE,2014-01-23,VERIFIED,PSN*4*386,372,ROUTINE,NATIONAL DRUG FILE,NDF4P386.KIDs,YES,NO
27,TRUE,2014-01-23,VERIFIED,VBEC*1*66,65,INFORMATION,VBECS,,,NO
28,TRUE,2014-01-24,VERIFIED,MHV*1*13,7,INFORMATION,MYHEALTHEVET,,,NO
29,TRUE,2014-01-28,VERIFIED,FB*3.5*148,124,ROUTINE,FEE BASIS,,,NO
30,TRUE,2014-01-29,VERIFIED,XM*8*45,41,ROUTINE,MAILMAN,,,NO
31,TRUE,2014-01-31,VERIFIED,IB*2*503,468,ROUTINE,INTEGRATED BILLING,,,NO
32,TRUE,2014-02-03,VERIFIED,PREN*1*2,1,INFORMATION,PHARMACY PRODUCT SYSTEM,INFORMATIONAL PATCH ONLY,,NO
33,TRUE,2014-02-05,VERIFIED,OR*3*383,327,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,YES,NO
34,FALSE,2014-02-10,VERIFIED,DENT*1.2*85,63,OTHER,DENTAL,PROHIBITED FROM FOIA DUE TO COPYRIGHT,NA,NA
35,TRUE,2014-02-10,VERIFIED,PSN*4*387,373,ROUTINE,NATIONAL DRUG FILE,NDF4P387.KIDs,YES,NO
36,TRUE,2014-02-10,VERIFIED,PXRM*2*34,24,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_34.KIDs,YES,NO
37,TRUE,2014-02-11,VERIFIED,WEBV*1*31,26,INFORMATION,VISTAWEB,INFORMATIONAL PATCH ONLY,,NO
38,TRUE,2014-02-12,VERIFIED,IB*2*509,469,ROUTINE,INTEGRATED BILLING,,YES,NO
39,TRUE,2014-02-13,VERIFIED,XU*8*552,504,ROUTINE,VA KERNEL,,,NO
40,TRUE,2014-02-13,VERIFIED,IB*2*513,370,ENHANCEMENT,INTEGRATED BILLING,IBRC1401A-F.TXT,,NO
41,TRUE,2014-02-13,VERIFIED,DG*5.3*878,774,INFORMATION,REGISTRATION,INFORMATIONAL PATCH ONLY,,NO
42,TRUE,2014-02-14,VERIFIED,DG*5.3*881,775,INFORMATION,REGISTRATION,INFORMATIONAL PATCH ONLY,,NO
43,TRUE,2014-02-20,VERIFIED,OR*3*349,328,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,NO
44,TRUE,2014-02-20,VERIFIED,DG*5.3*874,776,ROUTINE,REGISTRATION,,,NO
45,TRUE,2014-02-21,VERIFIED,FH*5.5*37,36,ROUTINE,NUTRITION AND FOOD SERVICE (DIETETICS),,,NO
46,TRUE,2014-02-21,VERIFIED,LR*5.2*430,342,ROUTINE,LABORATORY,HOWDY UPDATE,,NO
47,TRUE,2014-02-21,VERIFIED,VBEC*1*67,66,INFORMATION,VISTA BLOOD BANK,INFORMATIONAL PATCH ONLY,,NO
48,TRUE,2014-02-25,VERIFIED,PSN*4*388,374,ROUTINE,NATIONAL DRUG FILE,NDF4P388.KID,,NO
49,TRUE,2014-02-25,VERIFIED,PSN*4*389,375,ROUTINE,NATIONAL DRUG FILE,NDF4P389.KIDs,YES,NO
50,TRUE,2014-02-25,VERIFIED,PSO*7*429,360,ROUTINE,OUTPATIENT PHARMACY,,,NO
51,TRUE,2014-02-26,VERIFIED,PRCA*4.5*260,262,ROUTINE,ACCOUNTS RECEIVABLE,,,NO
52,TRUE,2014-02-27,VERIFIED,NUPA*1*2,1,INFORMATION,PATIENT ASSESSMENT PROGRAM,INFORMATIONAL PATCH ONLY,,NO
53,TRUE,2014-02-27,VERIFIED,PSO*7*434,361,ROUTINE,OUTPATIENT PHARMACY,,,NO
54,TRUE,2014-03-03,VERIFIED,LR*5.2*435,344,ROUTINE,LABORATORY,,,NO
55,TRUE,2014-03-03,VERIFIED,LR*5.2*416,345,ROUTINE,LABORATORY,,,NO
56,TRUE,2014-03-04,VERIFIED,LR*5.2*433,346,ENHANCEMENT,LABORATORY,,,NO
57,TRUE,2014-03-05,VERIFIED,LR*5.2*424,347,ROUTINE,LABORATORY,,,NO
58,TRUE,2014-03-06,VERIFIED,PXRM*2*36,25,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_36.KIDs,YES,NO
59,TRUE,2014-03-06,VERIFIED,PXRM*2*31,26,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_31.KIDs,YES,NO
60,TRUE,2014-03-06,VERIFIED,PSB*3*78,65,ROUTINE,BAR CODE ADMINISTRATION,,,NO
61,TRUE,2014-03-06,VERIFIED,OR*3*370,329,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,NO
62,TRUE,2014-03-10,VERIFIED,PSN*4*390,376,ROUTINE,NATIONAL DRUG FILE,NDF4P390.KIDs,YES,NO
63,FALSE,2014-03-10,VERIFIED,XU*8*639,505,INFORMATION,VA KERNEL,"XU_8_0_P639.ZIP
ONLY TEXT FILE IS AVAILABLE ",BEING REVIEWED,
64,TRUE,2014-03-10,VERIFIED,RA*5*116,105,ROUTINE,RADIOLOGY,,,NO
65,TRUE,2014-03-11,VERIFIED,IB*2*497,471,DATA,INTEGRATED BILLING,,,NO
66,TRUE,2014-03-12,VERIFIED,ECX*3*147,132,ROUTINE,DECISION SUPPORT SYSTEM,,,NO
67,TRUE,2014-03-12,VERIFIED,ECX*3*148,133,ROUTINE,DECISION SUPPORT SYSTEM,,,NO
68,TRUE,2014-03-17,VERIFIED,SD*5.3*609,502,ROUTINE,SCHEDULING,,,NO
69,TRUE,2014-03-19,VERIFIED,PSN*4*391,377,ROUTINE,NATIONAL DRUG FILE,NDF4P391.KID,NO,NO
70,TRUE,2014-03-19,VERIFIED,PSN*4*392,378,ROUTINE,NATIONAL DRUG FILE,NDF4P392.KIDs,YES,NO
71,TRUE,2014-03-19,VERIFIED,LR*5.2*434,348,ROUTINE,LABORATORY,,,NO
72,TRUE,2014-03-20,VERIFIED,SD*5.3*594,503,INFORMATION,SCHEDULING,,,NO
73,TRUE,2014-03-20,VERIFIED,VBEC*1*68,67,INFORMATION,VISTA BLOOD BANK,,,NO
74,TRUE,2014-03-20,VERIFIED,MHV*1*14,8,INFORMATION,MYHEALTHEVET,,,NO
75,TRUE,2014-03-20,VERIFIED,MD*1*34,24,ROUTINE,CLINICAL PROCEDURES,,,NO
76,TRUE,2014-03-21,VERIFIED,IB*2*520,472,ENHANCEMENT,INTEGRATED BILLING,IBRC1401A-F.TXT,NO,NO
77,TRUE,2014-03-24,VERIFIED,FH*5.5*38,37,ROUTINE,NUTRITION AND FOOD SERVICE (DIETETICS),,,NO
78,TRUE,2014-03-24,VERIFIED,DG*5.3*858,777,ROUTINE,REGISTRATION,DG_53_P858.KID,NO,NO
79,TRUE,2014-03-24,VERIFIED,IB*2*385,473,ROUTINE,INTEGRATED BILLING,DG_53_P858.KID,NO,NO
80,TRUE,2014-03-24,VERIFIED,EAS*1*106,90,ROUTINE,ENROLLMENT APPLICATION SYSTEM,DG_53_P858.KID,NO,NO
81,TRUE,2014-03-24,VERIFIED,IVM*2*154,131,ROUTINE,INCOME VERIFICATION MGMT,DG_53_P858.KID,NO,NO
82,TRUE,2014-03-24,VERIFIED,PSS*1*160,159,ROUTINE,PHARMACY DATA MGMT,MOCHA 2 - PSS_1_160.KIDs LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
83,TRUE,2014-03-24,VERIFIED,PSS*1*173,160,ROUTINE,PHARMACY DATA MGMT,MOCHA 2 - PSS_1_173.KID LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
84,TRUE,2014-03-24,VERIFIED,PSO*7*372,362,ROUTINE,OUTPATIENT PHARMACY,MOCHA 2 - MOCHA_2_0.KID LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
85,TRUE,2014-03-24,VERIFIED,PSJ*5*252,255,ROUTINE,INPATIENT PHARMACY,MOCHA 2 - MOCHA_2_0.KID  LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
86,TRUE,2014-03-24,VERIFIED,OR*3*345,330,ROUTINE,ORDER ENTRY/RESULTS REPORTING,MOCHA 2 - MOCHA_2_0.KID LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
87,TRUE,2014-03-24,VERIFIED,PSJ*5*257,256,ROUTINE,INPATIENT PHARMACY,"MOCHA 2 - MOCHA_2_0_FOLLOWUP_COMBINED_BUILD.KID
LOCATED IN PREM-MOCHA 2 FOLDER",YES,NO
88,TRUE,2014-03-24,VERIFIED,PSO*7*416,363,ROUTINE,OUTPATIENT PHARMACY,"MOCHA 2 - MOCHA_2_0_FOLLOWUP_COMBINED_BUILD.KID
LOCATED IN PREM-MOCHA 2 FOLDER",YES,NO
89,TRUE,2014-03-24,VERIFIED,GMRA*4*47,43,ROUTINE,ADVERSE REACTION TRACKING,"MOCHA 2 - MOCHA_2_0_FOLLOWUP_COMBINED_BUILD.KID
LOCATED IN PREM-MOCHA 2 FOLDER",YES,NO
90,TRUE,2014-03-24,VERIFIED,OR*3*311,331,ROUTINE,ORDER ENTRY/RESULTS REPORTING,"MOCHA 2 - MOCHA_2_0_FOLLOWUP_COMBINED_BUILD.KID
LOCATED IN PREM-MOCHA 2 FOLDER",YES,NO
91,TRUE,2014-03-24,VERIFIED,OR*3*381,332,ROUTINE,ORDER ENTRY/RESULTS REPORTING,MOCHA 2 - OR_3_381.KID LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
92,TRUE,2014-03-24,VERIFIED,PSJ*5*299,257,ROUTINE,INPATIENT PHARMACY,MOCHA - 2_0_FAST_TRACK_BUILDS.KID LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
93,TRUE,2014-03-24,VERIFIED,PSO*7*431,364,ROUTINE,OUTPATIENT PHARMACY,MOCHA - 2_0_FAST_TRACK_BUILDS.KID LOCATED IN PREM-MOCHA 2 FOLDER,YES,NO
94,TRUE,2014-03-25,VERIFIED,XT*7.3*136,109,ROUTINE,KERNEL TOOLKIT,,,
95,TRUE,2014-03-27,VERIFIED,KMPS*2*3,2,INFORMATION,SAGG,,,
96,TRUE,2014-03-31,VERIFIED,WEBI*6*1,1,INFORMATION,INTEGRATED HOME TELEHEALTH APPLICATION,,,
97,TRUE,2014-03-31,VERIFIED,LEX*2*95,84,ROUTINE,CLINICAL LEXICON,LEX_2_95.GBLs,YES,NO
98,TRUE,2014-03-31,VERIFIED,ICPT*6*67,65,INFORMATION,CPT CODES,LEX_2_95.GBLs,YES,NO
99,TRUE,2014-03-31,VERIFIED,PRC*5.1*179,156,ROUTINE,IFCAP,,,NO
100,FALSE,2014-04-01,VERIFIED,DSIF*3.2*44,25,OTHER,FEE BASIS CLAIM SYSTEM,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,NA
101,TRUE,2014-04-03,VERIFIED,PSD*3*72,63,ROUTINE,CONTROLLED SUBSTANCES,,,NO
102,TRUE,2014-04-04,VERIFIED,PRC*5.1*187,157,INFORMATION,IFCAP,,,NO
103,TRUE,2014-04-07,VERIFIED,PSN*4*393,379,ROUTINE,NATIONAL DRUG FILE,NDF4P393.KIDs,YES,NO
104,FALSE,2014-04-07,VERIFIED,DSIR*8.2*4,4,ROUTINE,RELEASE OF INFORMATION,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,NA
105,FALSE,2014-04-09,VERIFIED,DSIR*8.2*5,5,INFORMATION,RELEASE OF INFORMATION,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,NA
106,TRUE,2014-04-10,VERIFIED,OR*3*367,333,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,NO
107,TRUE,2014-04-14,VERIFIED,OR*3*384,334,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,NO
108,TRUE,2014-04-16,VERIFIED,FB*3.5*127,125,ROUTINE,FEE BASIS,,,NO
109,TRUE,2014-04-17,VERIFIED,PSN*4*394,380,ROUTINE,NATIONAL DRUG FILE,NDF4P394.KID,,NO
110,TRUE,2014-04-17,VERIFIED,PSN*4*395,381,ROUTINE,NATIONAL DRUG FILE,NDF4P395.KIDs,YES,NO
111,TRUE,2014-04-17,VERIFIED,VBEC*1*69,68,INFORMATION,VISTA BLOOD BANK,,,NO
112,TRUE,2014-04-21,VERIFIED,OR*3*334,335,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,NO
113,TRUE,2014-04-22,VERIFIED,OR*3*375,336,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,NO
114,TRUE,2014-04-23,VERIFIED,DVBA*2.7*186,164,ENHANCEMENT,AUTOMATED MEDICAL INFORMATION EXCHANGE (AMIE),DVBA_27_P186_10_SCRUBBED.ZIP,YES,YES
115,TRUE,2014-04-24,VERIFIED,PSO*7*362,365,ROUTINE,OUTPATIENT PHARMACY,,,NO
116,TRUE,2014-04-24,VERIFIED,OR*3*286,337,ROUTINE,ORDER ENTRY/RESULTS REPORTING,,,NO
