Version 3.23 - Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
099,DRG,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,N,"$2,668.40 ","$7,014.96 ","$4,381.29 ","$7,014.96 ",20180101
100,DRG,SEIZURES W MCC,N,"$3,335.55 ","$8,534.84 ","$6,197.92 ","$8,534.84 ",20180101
101,DRG,SEIZURES W/O MCC,N,"$3,369.56 ","$7,692.71 ","$5,378.85 ","$7,692.71 ",20180101
102,DRG,HEADACHES W MCC,N,"$3,195.95 ","$8,659.61 ","$5,683.87 ","$8,659.61 ",20180101
103,DRG,HEADACHES W/O MCC,N,"$2,620.25 ","$7,707.98 ","$4,504.62 ","$7,707.98 ",20180101
113,DRG,ORBITAL PROCEDURES W CC/MCC,S,"$3,876.12 ","$14,716.47 ","$7,857.61 ","$14,716.47 ",20180101
114,DRG,ORBITAL PROCEDURES W/O CC/MCC,S,"$3,650.88 ","$18,757.84 ","$7,452.51 ","$18,757.84 ",20180101
115,DRG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,S,"$3,560.28 ","$11,744.15 ","$6,696.00 ","$11,744.15 ",20180101
116,DRG,INTRAOCULAR PROCEDURES W CC/MCC,S,"$3,794.01 ","$11,375.66 ","$6,357.45 ","$11,375.66 ",20180101
117,DRG,INTRAOCULAR PROCEDURES W/O CC/MCC,S,"$3,403.31 ","$14,643.50 ","$7,675.03 ","$14,643.50 ",20180101
121,DRG,ACUTE MAJOR EYE INFECTIONS W CC/MCC,N,"$3,258.54 ","$4,785.95 ","$5,813.87 ","$4,785.95 ",20180101
122,DRG,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,N,"$2,968.94 ","$4,170.06 ","$5,926.87 ","$4,170.06 ",20180101
123,DRG,NEUROLOGICAL EYE DISORDERS,N,"$3,123.37 ","$10,562.39 ","$4,999.16 ","$10,562.39 ",20180101
124,DRG,OTHER DISORDERS OF THE EYE W MCC,N,"$3,616.66 ","$7,343.35 ","$5,890.68 ","$7,343.35 ",20180101
125,DRG,OTHER DISORDERS OF THE EYE W/O MCC,N,"$3,232.44 ","$6,333.46 ","$5,174.96 ","$6,333.46 ",20180101
129,DRG,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,S,"$4,095.69 ","$20,423.30 ","$7,292.68 ","$20,423.30 ",20180101
130,DRG,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,S,"$3,597.85 ","$24,381.52 ","$6,105.62 ","$24,381.52 ",20180101
131,DRG,CRANIAL/FACIAL PROCEDURES W CC/MCC,S,"$4,163.87 ","$19,604.73 ","$8,044.21 ","$19,604.73 ",20180101
132,DRG,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,S,"$4,661.62 ","$32,540.74 ","$8,512.30 ","$32,540.74 ",20180101
133,DRG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",S,"$3,397.76 ","$13,156.24 ","$6,378.48 ","$13,156.24 ",20180101
134,DRG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",S,"$3,363.91 ","$19,374.94 ","$6,044.79 ","$19,374.94 ",20180101
135,DRG,SINUS & MASTOID PROCEDURES W CC/MCC,S,"$3,310.11 ","$13,785.36 ","$6,119.74 ","$13,785.36 ",20180101
136,DRG,SINUS & MASTOID PROCEDURES W/O CC/MCC,S,"$3,287.15 ","$21,585.63 ","$6,006.86 ","$21,585.63 ",20180101
137,DRG,MOUTH PROCEDURES W CC/MCC,S,"$3,072.06 ","$9,632.65 ","$6,156.76 ","$9,632.65 ",20180101
138,DRG,MOUTH PROCEDURES W/O CC/MCC,S,"$3,597.89 ","$13,976.32 ","$5,729.28 ","$13,976.32 ",20180101
139,DRG,SALIVARY GLAND PROCEDURES,S,"$3,434.71 ","$20,785.83 ","$6,192.47 ","$20,785.83 ",20180101
146,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",N,"$3,399.28 ","$6,556.77 ","$6,343.17 ","$6,556.77 ",20180101
147,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",N,"$3,254.04 ","$6,472.89 ","$5,294.09 ","$6,472.89 ",20180101
148,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",N,"$2,469.79 ","$6,603.55 ","$4,691.72 ","$6,603.55 ",20180101
149,DRG,DYSEQUILIBRIUM,N,"$3,300.50 ","$9,163.04 ","$5,286.07 ","$9,163.04 ",20180101
150,DRG,EPISTAXIS W MCC,N,"$3,168.10 ","$6,986.80 ","$5,417.43 ","$6,986.80 ",20180101
151,DRG,EPISTAXIS W/O MCC,N,"$3,520.69 ","$6,469.78 ","$6,030.35 ","$6,469.78 ",20180101
152,DRG,OTITIS MEDIA & URI W MCC,N,"$3,478.34 ","$6,890.39 ","$5,619.09 ","$6,890.39 ",20180101
153,DRG,OTITIS MEDIA & URI W/O MCC,N,"$2,878.86 ","$5,614.16 ","$4,665.36 ","$5,614.16 ",20180101
154,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",N,"$3,276.10 ","$7,437.30 ","$5,981.04 ","$7,437.30 ",20180101
155,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",N,"$3,288.23 ","$6,979.45 ","$5,724.04 ","$6,979.45 ",20180101
156,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",N,"$3,074.96 ","$6,948.59 ","$5,550.59 ","$6,948.59 ",20180101
157,DRG,DENTAL & ORAL DISEASES W MCC,N,"$3,323.37 ","$7,350.80 ","$5,953.93 ","$7,350.80 ",20180101
158,DRG,DENTAL & ORAL DISEASES W CC,N,"$3,296.74 ","$6,909.51 ","$5,484.32 ","$6,909.51 ",20180101
159,DRG,DENTAL & ORAL DISEASES W/O CC/MCC,N,"$3,360.70 ","$8,022.42 ","$6,356.29 ","$8,022.42 ",20180101
163,DRG,MAJOR CHEST PROCEDURES W MCC,S,"$3,179.54 ","$11,967.42 ","$5,645.70 ","$11,967.42 ",20180101
164,DRG,MAJOR CHEST PROCEDURES W CC,S,"$3,612.41 ","$14,982.94 ","$5,437.58 ","$14,982.94 ",20180101
165,DRG,MAJOR CHEST PROCEDURES W/O CC/MCC,S,"$3,225.20 ","$17,262.16 ","$4,807.21 ","$17,262.16 ",20180101
166,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,S,"$3,285.83 ","$9,760.25 ","$5,581.70 ","$9,760.25 ",20180101
167,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,S,"$3,188.88 ","$10,762.43 ","$5,257.47 ","$10,762.43 ",20180101
168,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,S,"$2,934.49 ","$12,879.60 ","$4,695.72 ","$12,879.60 ",20180101
175,DRG,PULMONARY EMBOLISM W MCC,N,"$2,924.24 ","$7,375.78 ","$4,954.01 ","$7,375.78 ",20180101
176,DRG,PULMONARY EMBOLISM W/O MCC,N,"$2,941.58 ","$7,284.68 ","$4,838.73 ","$7,284.68 ",20180101
177,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,N,"$2,914.85 ","$6,550.09 ","$4,989.27 ","$6,550.09 ",20180101
178,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,N,"$2,935.76 ","$6,078.82 ","$4,920.06 ","$6,078.82 ",20180101
179,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,N,"$2,681.43 ","$5,564.04 ","$4,596.29 ","$5,564.04 ",20180101
180,DRG,RESPIRATORY NEOPLASMS W MCC,N,"$3,052.34 ","$7,547.53 ","$5,024.29 ","$7,547.53 ",20180101
181,DRG,RESPIRATORY NEOPLASMS W CC,N,"$3,187.84 ","$7,608.49 ","$5,138.55 ","$7,608.49 ",20180101
182,DRG,RESPIRATORY NEOPLASMS W/O CC/MCC,N,"$1,689.53 ","$5,178.91 ","$2,890.01 ","$5,178.91 ",20180101
183,DRG,MAJOR CHEST TRAUMA W MCC,N,"$3,428.17 ","$7,703.69 ","$6,932.50 ","$7,703.69 ",20180101
184,DRG,MAJOR CHEST TRAUMA W CC,N,"$3,515.30 ","$8,167.47 ","$7,109.97 ","$8,167.47 ",20180101
185,DRG,MAJOR CHEST TRAUMA W/O CC/MCC,N,"$3,800.29 ","$8,714.92 ","$7,632.04 ","$8,714.92 ",20180101
186,DRG,PLEURAL EFFUSION W MCC,N,"$2,919.76 ","$7,229.82 ","$4,869.44 ","$7,229.82 ",20180101
187,DRG,PLEURAL EFFUSION W CC,N,"$2,864.07 ","$6,664.12 ","$4,538.78 ","$6,664.12 ",20180101
188,DRG,PLEURAL EFFUSION W/O CC/MCC,N,"$2,424.17 ","$6,246.92 ","$3,947.95 ","$6,246.92 ",20180101
189,DRG,PULMONARY EDEMA & RESPIRATORY FAILURE,N,"$2,726.45 ","$6,036.22 ","$4,671.40 ","$6,036.22 ",20180101
190,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,N,"$2,560.76 ","$6,117.61 ","$4,420.20 ","$6,117.61 ",20180101
191,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,N,"$2,566.41 ","$5,958.81 ","$4,358.98 ","$5,958.81 ",20180101
192,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,N,"$2,138.67 ","$5,232.23 ","$3,876.50 ","$5,232.23 ",20180101
193,DRG,SIMPLE PNEUMONIA & PLEURISY W MCC,N,"$2,724.90 ","$6,650.36 ","$4,719.04 ","$6,650.36 ",20180101
194,DRG,SIMPLE PNEUMONIA & PLEURISY W CC,N,"$2,624.96 ","$5,811.48 ","$4,482.67 ","$5,811.48 ",20180101
195,DRG,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,N,"$2,255.69 ","$5,054.85 ","$4,055.56 ","$5,054.85 ",20180101
196,DRG,INTERSTITIAL LUNG DISEASE W MCC,N,"$3,265.63 ","$6,691.88 ","$5,607.11 ","$6,691.88 ",20180101
197,DRG,INTERSTITIAL LUNG DISEASE W CC,N,"$3,009.94 ","$6,283.18 ","$5,015.55 ","$6,283.18 ",20180101
198,DRG,INTERSTITIAL LUNG DISEASE W/O CC/MCC,N,"$2,853.16 ","$6,496.79 ","$4,744.86 ","$6,496.79 ",20180101
199,DRG,PNEUMOTHORAX W MCC,N,"$2,878.35 ","$6,304.90 ","$5,064.38 ","$6,304.90 ",20180101
200,DRG,PNEUMOTHORAX W CC,N,"$2,962.85 ","$6,487.13 ","$5,090.87 ","$6,487.13 ",20180101
201,DRG,PNEUMOTHORAX W/O CC/MCC,N,"$2,617.16 ","$5,683.77 ","$4,346.00 ","$5,683.77 ",20180101
202,DRG,BRONCHITIS & ASTHMA W CC/MCC,N,"$2,850.66 ","$6,175.22 ","$4,837.57 ","$6,175.22 ",20180101
203,DRG,BRONCHITIS & ASTHMA W/O CC/MCC,N,"$2,528.19 ","$5,343.77 ","$4,480.98 ","$5,343.77 ",20180101
204,DRG,RESPIRATORY SIGNS & SYMPTOMS,N,"$2,986.73 ","$8,008.80 ","$4,812.62 ","$8,008.80 ",20180101
205,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,N,"$3,434.48 ","$8,251.22 ","$5,792.60 ","$8,251.22 ",20180101
206,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,N,"$3,360.37 ","$8,532.09 ","$5,528.08 ","$8,532.09 ",20180101
207,DRG,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,N,"$3,114.46 ","$8,571.60 ","$5,596.83 ","$8,571.60 ",20180101
208,DRG,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,N,"$2,985.95 ","$9,719.56 ","$5,712.15 ","$9,719.56 ",20180101
215,DRG,OTHER HEART ASSIST SYSTEM IMPLANT,S,"$3,349.14 ","$33,274.72 ","$7,186.86 ","$33,274.72 ",20180101
216,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,S,"$3,891.79 ","$23,898.34 ","$6,861.91 ","$23,898.34 ",20180101
217,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,S,"$3,855.67 ","$26,139.73 ","$6,339.53 ","$26,139.73 ",20180101
218,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,S,"$3,377.12 ","$33,950.48 ","$6,056.98 ","$33,950.48 ",20180101
219,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,S,"$3,898.43 ","$24,860.69 ","$6,918.52 ","$24,860.69 ",20180101
220,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,S,"$3,814.86 ","$28,552.22 ","$6,410.77 ","$28,552.22 ",20180101
221,DRG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,S,"$3,137.44 ","$31,225.24 ","$5,491.97 ","$31,225.24 ",20180101
