Sta #,VA Facility Location,ZIP 3,PBN,,,,,,,
436MA,"GREAT FALLS, MT (DES)",594,2,,,,,,,
437,"FARGO, ND",581,1,,,,,,,
437GA,"GRAFTON, ND",582,3,,,,,,,
437GB,"BISMARCK, ND",585,3,,,,,,,
437GC,"FERGUS FALLS, MN",565,3,,,,,,,
437GD,"MINOT, ND",587,3,,,,,,,
437GE,"BEMIDJI, MN",566,3,,,,,,,
437GF,"WILLISTON, ND",588,3,,,,,,,
437GI,"GRAND FORKS, ND",582,3,,,,,,,
437MA,"FARGO, ND (DES) (MINOT AFB)",587,2,,,,,,,
437MB,"FARGO, ND (DES) (GRAND FORKS AFB)",582,2,,,,,,,
437PB,"FARGO, ND (PRRTP)",581,2,,,,,,,
438,"SIOUX FALLS, SD",571,1,,,,,,,
438GA,"SPIRIT LAKE, SD",513,3,,,,,,,
438GC,"SIOUX CITY, IA",511,3,,,,,,,
438GD,"ABERDEEN, SD",574,3,,,,,,,
438GE,"WAGNER, SD",573,3,,,,,,,
438GF,"WATERTOWN, SD",572,3,,,,,,,
442,"CHEYENNE, WY",820,1,,,,,,,
442GB,"SIDNEY, NE",691,2,,,,,,,
442GC,"FORT COLLINS, CO",805,2,,,,,,,
442GD,"GREELEY, CO",806,2,,,,,,,
442HK,"CHEYENNE, WY",820,2,,,,,,,
442MA,"F.E. WARREN, WY (DES) (WARREN AFB)",820,2,,,,,,,
459,"HONOLULU, HI",968,1,,,,,,,
459DT,"HILO, HI",967,3,,,,,,,
459GA,"KAHULUI, HI",967,3,,,,,,,
459GB,"HILO, HI",967,3,,,,,,,
459GC,"KAILUA KONA, HI",967,3,,,,,,,
459GD,"LIHUE, HI",967,3,,,,,,,
459GE,"GUAM, GU",969,3,,,,,,,
459GF,"PAGO PAGO, AMERICAN SAMOA",967,3,,,,,,,
459GG,"EWA BEACH, HI",967,2,,,,,,,
459MA,"HONOLULU, HI (DES)",968,2,,,,,,,
460,"WILMINGTON, DE",198,1,,,,,,,
460DV,"MILFORD, DE (STATE VET HOME)",199,3,,,,,,,
460GA,"MILLSBORO, DE",199,3,,,,,,,
460GC,"DOVER, DE",199,2,,,,,,,
460GD,"CAPE MAY, NJ (CBOC)",082,3,,,,,,,
460HE,"NORTHFIELD, NJ",082,3,,,,,,,
460HG,"VINELAND, NJ",083,2,,,,,,,
460HK,"WILMINGTON, DE (MOC)",198,2,,,,,,,
460MA,"WILMINGTON, DE (DES)",198,2,,,,,,,
463,"ANCHORAGE, AK",995,1,,,,,,,
463GA,"FAIRBANKS, AK",997,3,,,,,,,
463GB,"KENAI, AK",996,3,,,,,,,
463GC,"WASILLA, AK (MAT-SU CBOC)",996,2,,,,,,,
463JA,"JUNEAU, AK",998,3,,,,,,,
463MA,"ANCHORAGE, AK (DES) (FORT RICHARDSON)",995,2,,,,,,,
463MB,"ANCHORAGE, AK (DES) (FORT WAINWRIGHT)",997,2,,,,,,,
463MC,"ANCHORAGE, AK (DES) (ELMENDORF AFB)",995,2,,,,,,,
463MD,"ANCHORAGE, AK (DES) (EIELSON AFB)",997,2,,,,,,,
501,"ALBUQUERQUE, NM",871,1,,,,,,,
501G2,"LAS VEGAS, NM",875,3,,,,,,,
501GA,"ARTESIA, NM",882,3,,,,,,,
501GB,"FARMINGTON, NM",874,3,,,,,,,
501GC,"SILVER CITY, NM",880,3,,,,,,,
501GD,"GALLUP, NM",873,3,,,,,,,
501GE,"ESPANOLA, NM",884,3,,,,,,,
501GH,"TRUTH OR CONSEQUENCES, NM",879,3,,,,,,,
501GI,"ALAMOGORDO, NM",883,3,,,,,,,
501GJ,"DURANGO, CO",813,3,,,,,,,
501GK,"SANTA FE, NM",875,3,,,,,,,
501GL,"TAOS, NM",875,3,,,,,,,
501GM,"RIO RANCHO, NM (NW METRO)",871,2,,,,,,,
501HB,"RATON, NM",877,3,,,,,,,
501MA,"ALBUQUERQUE, NM (DES)",871,2,,,,,,,
501PC,"ALBUQUERQUE, NM (CWT/TR)",871,2,,,,,,,
502,"PINEVILLE, LA",713,1,,,,,,,
502GA,"JENNINGS, LA",705,3,,,,,,,
502GB,"LAFAYETTE, LA",705,3,,,,,,,
502GF,"LEESVILLE, LA (FORT POLK)",714,3,,,,,,,
502GG,"NATCHITOCHES, LA",714,3,,,,,,,
502MA,"FT. POLK, LA (DES)",714,2,,,,,,,
503,"ALTOONA, PA",166,1,,,,,,,
503GA,"JOHNSTOWN, PA",159,2,,,,,,,
503GB,"DU BOIS, PA",158,3,,,,,,,
503GC,"STATE COLLEGE, PA",168,2,,,,,,,
503GD,"HUNTINGTON COUNTY CBOC, PA",170,2,,,,,,,
503GE,"INDIANA COUNTY CBOC, PA",157,2,,,,,,,
504,"AMARILLO, TX",791,1,,,,,,,
504BY,"LUBBOCK, TX",794,2,,,,,,,
504BZ,"CLOVIS, NM",881,3,,,,,,,
504DT,"AMARILLO, TX (CBOC)",791,2,,,,,,,
504GA,"CHILDRESS, TX",792,2,,,,,,,
504HB,"DALHART, TX",790,3,,,,,,,
504MA,"CLOVIS, NM (DES)",881,2,,,,,,,
506,"ANN ARBOR, MI",481,1,,,,,,,
506GA,"TOLEDO, OH",436,3,,,,,,,
506GB,"FLINT, MI",485,3,,,,,,,
506GC,"JACKSON, MI",492,3,,,,,,,
508,"DECATUR, GA (ATLANTA VAMC)",300,1,,,,,,,
508BU,VA DOM ATLANTA,303,2,,,,,,,
508GA,"FORT MACPHERSON, GA CBOC",303,2,,,,,,,
508GE,"OAKWOOD/NE CORRIDOR, GA",305,2,,,,,,,
508GF,"AUSTELL, GA",301,2,,,,,,,
508GG,"STOCKBRIDGE, GA",302,2,,,,,,,
508GH,"LAWRENCEVILLE, GA",300,2,,,,,,,
508GI,"NEWNAN, GA",302,3,,,,,,,
508GJ,"BLAIRSVILLE, GA",305,3,,,,,,,
508GK,"CARROLLTON, GA",301,3,,,,,,,
508GL,"ROME VA CLINIC, GA",301,3,,,,,,,
508QA,"DECATUR VA CLINIC, GA",300,2,,,,,,,
508QC,"HENDERSON MILLS VA CLINIC, GA",303,2,,,,,,,
508QD,"OLD EASTPOINT VA CLINIC, GA",303,2,,,,,,,
508QE,"OLD LAWRENCEVILLE VA CLINIC, GA",300,2,,,,,,,
508QG,"CARROLL COUTY VA MOBILE CLINIC, GA",301,3,,,,,,,
509,"AUGUSTA, GA (DOWNTOWN)",309,1,,,,,,,
509A0,"AUGUSTA, GA (UPTOWN)",309,1,,,,,,,
509GA,"ATHENS, GA (CBOC)",306,3,,,,,,,
509GB,"AIKEN, SC",298,2,,,,,,,
509MA,"FORT GORDON, GA (DES)",309,2,,,,,,,
509QA,"STATESBORO VA CLINIC, GA",304,3,,,,,,,
512,"BALTIMORE, MD",212,1,,,,,,,
512A5,"PERRY POINT, MD",219,1,,,,,,,
512GA,"CAMBRIDGE, MD",216,3,,,,,,,
512GC,"GLEN BURNIE, MD",210,2,,,,,,,
512GD,"BALTIMORE, MD (LOCH RAVEN)",212,2,,,,,,,
512GE,"POCOMOKE CITY, MD",218,3,,,,,,,
512GF,"FORT HOWARD, MD (CBOC)",210,2,,,,,,,
512GG,"FT MEADE, MD (CBOC)",207,2,,,,,,,
512MA,"FORT GEORGE G MEADE, MD (DES)",207,2,,,,,,,
512MB,"ANNAPOLIS, MD (DES)",214,2,,,,,,,
512PA,"PERRY POINT RTP'S, MD",219,2,,,,,,,
515,"BATTLE CREEK, MI",490,1,,,,,,,
515BY,"GRAND RAPIDS, MI",495,2,,,,,,,
515GA,"MUSKEGON, MI",494,3,,,,,,,
515GB,"LANSING, MI",489,3,,,,,,,
515GC,"BENTON HARBOR, MI",490,3,,,,,,,
516,"C.W.BILL YOUNG VAMC, BAY PINES, FL",337,1,,,,,,,
516BZ,"FORT MYERS, FL",339,2,,,,,,,
516GA,"SARASOTA, FL",342,2,,,,,,,
516GB,"SAINT PETERSBURG, FL",337,2,,,,,,,
516GC,"PALM HARBOR, FL",346,2,,,,,,,
516GD,"ELLENTON, FL",342,2,,,,,,,
516GE,"PORT CHARLOTTE, FL",339,2,,,,,,,
516GF,"NAPLES, FL",341,2,,,,,,,
516GH,"AVON PARK, FL",338,3,,,,,,,
517,"BECKLEY, WV",258,1,,,,,,,
517GB,"MAXWELTON, WV",249,3,,,,,,,
517GC,"PRINCETON VA CLINIC, WV",247,2,,,,,,,
517HK,"BECKLEY, WV MOC",247,2,,,,,,,
518,"BEDFORD, MA",017,1,,,,,,,
518GA,"LYNN, MA",019,2,,,,,,,
518GB,"HAVERHILL, MA",018,2,,,,,,,
518GE,"GLOUCESTER, MA",019,2,,,,,,,
518MA,"BEDFORD, MA (DES)",017,2,,,,,,,
519,"BIG SPRING, TX",797,1,,,,,,,
519BU,"BIG SPRING, TX (DOM)",797,2,,,,,,,
519GA,"PERMIAN BASIN CBOC, ODESSA, TX",797,3,,,,,,,
519GB,"HOBBS, NM",882,2,,,,,,,
519GD,"FORT STOCKTON, TX",797,3,,,,,,,
519HC,"ABILENE, TX",796,2,,,,,,,
519HD,"STAMFORD, TX",795,3,,,,,,,
519HF,"SAN ANGELO, TX",769,2,,,,,,,
519MA,"BIG SPRING, TX (DES) (GOODFELLOW)",797,2,,,,,,,
519MB,"BIG SPRING, TX (DES) (DYESS)",797,2,,,,,,,
520,"BILOXI, MS",395,1,,,,,,,
520A0,"GULFPORT, MS",395,1,,,,,,,
520BZ,"PENSACOLA, FL (JACC)",325,2,,,,,,,
520GA,"MOBILE, AL",366,2,,,,,,,
520GB,"PANAMA CITY, FL",324,3,,,,,,,
520GC,"EGLIN AFB, FL",325,3,,,,,,,
520MA,"KEESLER AFB, MS (DES) (BILOXI)",395,2,,,,,,,
520MB,"PENSACOLA, FL (DES) (JACC)",325,2,,,,,,,
520MC,"PENSACOLA, FL (DES) (KEESLER AFB)",325,2,,,,,,,
520MD,"PENSACOLA, FL (DES) (GULFPORT)",395,2,,,,,,,
520ME,"PENSACOLA, FL (DES) (NAVAL HOSP. )",325,2,,,,,,,
520MF,"PENSACOLA, FL (DES) (HURLBURT FIELD)",325,2,,,,,,,
520MG,"PENSACOLA, FL (DES) (EGLIN AFB)",325,2,,,,,,,
520MH,"PENSACOLA, FL (DES) (PANAMA CITY (NAVAL))",325,2,,,,,,,
520MI,"PENSACOLA, FL (DES) (TYNDALL AFB)",325,2,,,,,,,
521,"BIRMINGHAM, AL",352,1,,,,,,,
521GA,"HUNTSVILLE, AL",358,3,,,,,,,
521GB,"DECATUR, AL",356,3,,,,,,,
521GC,"FLORENCE, AL",356,3,,,,,,,
521GD,"RAINBOW CITY, AL",359,3,,,,,,,
521GE,"ANNISTON, AL",362,3,,,,,,,
521GF,"JASPER, AL",355,2,,,,,,,
521GG,"BESSEMER, AL (CBOC)",350,2,,,,,,,
521GH,"CHILDERSBURG, AL ",350,2,,,,,,,
521GI,"GUNTERSVILLE, AL",359,3,,,,,,,
521MA,"HUNTSVILLE, AL (DES)",358,2,,,,,,,
521QA,"CALLAHAN VA CLINIC, AL",352,2,,,,,,,
523,"BOSTON, MA",021,1,,,,,,,
523A4,"WEST ROXBURY, MA",021,1,,,,,,,
523A5,"BROCKTON, MA",024,1,,,,,,,
523BY,"LOWELL, MA",018,2,,,,,,,
523BZ,"BOSTON, MA (CBOC)",021,2,,,,,,,
523GA,"FRAMINGHAM, MA",017,2,,,,,,,
523GC,"QUINCY, MA",021,2,,,,,,,
523GD,"PLYMOUTH, MA",023,3,,,,,,,
523MA,"BOSTON, MA (DES)",021,2,,,,,,,
526,"BRONX, NY",104,1,,,,,,,
526GA,"WHITE PLAINS/BRONX, NY",106,2,,,,,,,
526GB,"YONKERS, NY",107,2,,,,,,,
526GD,"QUEENS, NY",111,2,,,,,,,
528,"BUFFALO, NY",142,1,,,,,,,
528A4,"BATAVIA, NY",140,1,,,,,,,
528A5,"CANANDAIGUA, NY",144,1,,,,,,,
528A6,"BATH, NY",148,1,,,,,,,
528A7,"SYRACUSE, NY",132,1,,,,,,,
528A8,"ALBANY, NY",122,1,,,,,,,
528G1,"MALONE, NY",129,3,,,,,,,
528G2,"WESTPORT, NY",129,3,,,,,,,
528G3,"BAINBRIDGE, NY",137,3,,,,,,,
528G4,"ELMIRA, NY",149,2,,,,,,,
528G5,"AUBURN, NY",130,2,,,,,,,
528G6,"FONDA, NY",120,2,,,,,,,
528G7,"CATSKILL, NY",124,2,,,,,,,
528G8,"WELLSVILLE, NY",148,2,,,,,,,
528G9,"CORTLAND, NY",130,3,,,,,,,
528GB,"JAMESTOWN, NY",147,2,,,,,,,
528GC,"DUNKIRK, NY",140,2,,,,,,,
528GD,"NIAGARA FALLS, NY",143,2,,,,,,,
528GE,"ROCHESTER, NY",146,2,,,,,,,
528GK,"LOCKPORT, NY",140,2,,,,,,,
528GL,"MASSENA, NY",136,3,,,,,,,
528GM,"ROME, NY",134,2,,,,,,,
528GN,"BINGHAMTON, NY",139,2,,,,,,,
528GO,"WATERTOWN, NY",136,3,,,,,,,
528GP,"OSWEGO, NY",131,2,,,,,,,
528GQ,"LACKAWANNA, NY",142,2,,,,,,,
528GR,"OLEAN, NY",147,2,,,,,,,
528GT,"GLENS FALLS, NY",128,2,,,,,,,
528GV,"PLATTSBURGH, NY",129,2,,,,,,,
528GW,"SCHENECTADY, NY",123,2,,,,,,,
528GX,"TROY, NY",121,2,,,,,,,
528GY,"CLIFTON PARK, NY",120,2,,,,,,,
528GZ,"KINGSTON, NY",124,3,,,,,,,
528JA,"CANANDAIGUA, NY (CBOC)",144,2,,,,,,,
528MA,"WATERTOWN, NY (DES)",136,2,,,,,,,
528QA,"BUFFALO VA CLINIC, NY",142,2,,,,,,,
528QC,"CLINTON CROSSINGS VA CLINIC, NY",146,2,,,,,,,
528QE,COUDERSPORT VA CLINIC,169,3,,,,,,,
528QF,"WELLSBORO VA CLINIC, NY",169,3,,,,,,,
528QG,"ERIE WEST VA CLINIC, NY",132,2,,,,,,,
528QH,"EAST FAYETTE VA CLINIC, NY",132,2,,,,,,,
528QI,"ERIE EAST VA CLINIC, NY",132,2,,,,,,,
528QK,"SARANAC LAKE VA CLINIC, NY",129,2,,,,,,,
529,"BUTLER, PA",160,1,,,,,,,
529GA,"MERCER, PA",161,2,,,,,,,
529GB,"NEW CASTLE, PA",161,2,,,,,,,
529GC,"KITTANNING, PA",162,2,,,,,,,
529GD,"KNOX, PA",162,3,,,,,,,
529GF,"CRANBERRY TOWNSHIP, PA",160,2,,,,,,,
531,"BOISE, ID",837,1,,,,,,,
531GD,"ONTARIO, OR",979,3,,,,,,,
531GE,"TWIN FALLS, ID",833,2,,,,,,,
531GG,"CALDWELL, ID (BOISE CBOC)",836,2,,,,,,,
531JA,"SALMON, ID",834,3,,,,,,,
531JB,"BURNS, OR",977,3,,,,,,,
531MA,"BOISE, ID  MOUNTAIN HOME AFB (DES)",836,2,,,,,,,
531MB,"BOISE, ID IDAHO ARMY NG (DES)",837,2,,,,,,,
534,"CHARLESTON, SC",294,1,,,,,,,
534BY,"SAVANNAH, GA",314,2,,,,,,,
534DT,"WALTERBORO, SC",294,3,,,,,,,
534GB,"MYRTLE BEACH, SC",295,2,,,,,,,
534GC,"BEAUFORT, SC",299,2,,,,,,,
534GD,"GOOSE CREEK, SC",294,2,,,,,,,
534GE,"HINESVILLE, GA",313,3,,,,,,,
534GF,"TRIDENT VA CLINIC, SC",294,2,,,,,,,
534MA,"BEAUFORT, SC (DES) (NAV HOSP BEAUFORT)",299,2,,,,,,,
534MB,"GOOSE CREEK, SC (DES) (NAV HLTH CLINIC CHARLESTON)",294,2,,,,,,,
534MC,"CHARLESTON, SC (DES) (CHARLESTON AFB)",294,2,,,,,,,
534MD,"FT STEWART, GA (DES)",313,2,,,,,,,
534QA,"JOHNSON AVENUE VA CLINIC, SC",295,3,,,,,,,
534QB,"NORTH CHARLESTON VA CLINIC, SC",294,2,,,,,,,
537,"JESSE BROWN VAMC, IL.",606,1,,,,,,,
537BY,"CROWN POINT, IN",463,2,,,,,,,
537GA,"CHICAGO HEIGHTS, IL",604,2,,,,,,,
537GD,"LAKESIDE, IL (CBOC - LAKESIDE)",606,2,,,,,,,
537HA,"AUBURN - GRESHAM CBOC, IL.",606,2,,,,,,,
538,"CHILLICOTHE, OH",456,1,,,,,,,
538GA,"ATHENS, OH",457,2,,,,,,,
538GB,"PORTSMOUTH, OH",456,2,,,,,,,
538GC,"MARIETTA, OH",457,3,,,,,,,
538GD,"LANCASTER, OH",431,2,,,,,,,
538GE,"CAMBRIDGE, OH (CBOC)",437,3,,,,,,,
539,"CINCINNATI, OH",452,1,,,,,,,
539A4,"FORT THOMAS, KY",410,1,,,,,,,
539BV,"FORT THOMAS, KY (PRRTP - CBOC)",410,2,,,,,,,
539DT,"GEORGETOWN, OH (STATE VET HOME)",451,1,,,,,,,
539GA,"BELLEVUE, KY",410,2,,,,,,,
539GB,"CINCINNATI, OH (CBOC)",452,2,,,,,,,
539GC,"GREENDALE, IN (LAWRENCEBURG)",470,2,,,,,,,
539GD,"FLORENCE, OH (CBOC)",410,2,,,,,,,
539GE,"HAMILTON, OH",450,2,,,,,,,
539GF,"GEORGETOWN, OH (CBOC)",451,3,,,,,,,
5399AB,"FORT THOMAS COMMUNITY LIVING CENTER, KY",410,1,,,,,,,
540,"CLARKSBURG, WV",263,1,,,,,,,
540DT,"CLARKSBURG, WV (SNF)",263,1,,,,,,,
540GA,"PARSONS, WV",262,2,,,,,,,
540GB,"PARKERSBURG, WV",261,3,,,,,,,
540GC,"SUTTON, WV (GASSAWAY-BRAXTON)",266,2,,,,,,,
540GD,"MORGANTOWN, WV (MONGOLIA CBOC)",265,2,,,,,,,
540HK,"CLARKSBURG, WV",263,2,,,,,,,
541,"CLEVELAND, OH (WADE PARK)",441,1,,,,,,,
541BY,"CANTON, OH",447,2,,,,,,,
541BZ,"YOUNGSTOWN, OH",445,3,,,,,,,
541GB,"LORAIN, OH",440,2,,,,,,,
541GC,"SANDUSKY, OH",448,3,,,,,,,
541GD,"MANSFIELD, OH",449,3,,,,,,,
541GE,"CLEVELAND, OH (MCCAFFERTY CBOC)",441,2,,,,,,,
541GF,"PAINESVILLE, OH",440,2,,,,,,,
541GG,"AKRON, OH",443,2,,,,,,,
541GH,"EAST LIVERPOOL, OH",439,3,,,,,,,
541GI,"WARREN, OH",444,3,,,,,,,
541GJ,"NEW PHILADELPHIA, OH",446,3,,,,,,,
541GK,"RAVENNA, OH",442,2,,,,,,,
541GL,"PARMA, OH",441,2,,,,,,,
541GM,CLEVELAND AMBULATORY SURGERY CENTER CBOC,441,2,,,,,,,
542,"COATESVILLE, PA",193,1,,,,,,,
542GA,"SPRINGFIELD, PA",190,2,,,,,,,
542GE,"SPRING CITY, PA",194,2,,,,,,,
544,"COLUMBIA, SC",292,1,,,,,,,
544BZ,"GREENVILLE, SC",296,2,,,,,,,
544GB,"FLORENCE, SC",295,3,,,,,,,
544GC,"ROCK HILL, SC",297,3,,,,,,,
544GD,"ANDERSON, SC",296,3,,,,,,,
544GE,"ORANGEBURG, SC",291,2,,,,,,,
544GF,"SUMTER, SC",291,2,,,,,,,
544GG,"SPARTANBURG, SC",293,3,,,,,,,
544MA,"SHAW AFB, SC (DES)",291,2,,,,,,,
544MB,"FT JACKSON, SC (DES)",292,2,,,,,,,
546,"MIAMI, FL",331,1,,,,,,,
546BZ,"SUNRISE, FL (BROWARD COUNTY)",333,2,,,,,,,
546GA,"MIAMI, FL (OSAC)",331,2,,,,,,,
546GB,"KEY WEST, FL",330,3,,,,,,,
546GC,"HOMESTEAD, FL",330,2,,,,,,,
546GD,"HOLLYWOOD, FL (PEMBROKE PINES)",330,2,,,,,,,
546GE,"KEY LARGO, FL",330,3,,,,,,,
546GF,"HALLANDALE, FL",330,2,,,,,,,
546GH,"DEERFIELD BEACH, FL",334,3,,,,,,,
548,"WEST PALM BEACH, FL",334,1,,,,,,,
548GA,"FORT PIERCE, FL",349,3,,,,,,,
548GB,"DELRAY BEACH, FL",334,2,,,,,,,
548GC,"STUART, FL",349,2,,,,,,,
548GD,"BOCA RATON, FL",334,2,,,,,,,
548GE,"VERO BEACH, FL",329,3,,,,,,,
548GF,"OKEECHOBEE, FL",349,3,,,,,,,
549,"DALLAS, TX",752,1,,,,,,,
5499A,"BONHAM, TX (NURSING HOME)",754,1,,,,,,,
549A4,"BONHAM, TX",754,1,,,,,,,
549BY,"FORT WORTH, TX (OPC)",761,2,,,,,,,
549DU,"TYLER, TX (STATE NURSING HOME)",757,1,,,,,,,
549GA,"TYLER, TX",757,3,,,,,,,
549GB,"DALLAS, TX (CBOC)",752,2,,,,,,,
549GC,"BONHAM, TX (CBOC)",754,3,,,,,,,
549GD,"DENTON, TX",762,3,,,,,,,
549GE,"DECATUR, TX",762,3,,,,,,,
549GF,"EASTLAND, TX",764,3,,,,,,,
549GH,"GREENVILLE, TX",754,3,,,,,,,
549GI,"CLEBURNE, TX",760,2,,,,,,,
549GJ,"SHERMAN, TX",750,3,,,,,,,
549MA,"FORT WORTH, TX (DES)",761,2,,,,,,,
549PB,"BONHAM, TX (CWTTR)",754,2,,,,,,,
550,"DANVILLE, IL",618,1,,,,,,,
550BY,"PEORIA, IL",616,3,,,,,,,
550GA,"DECATUR, IL",625,3,,,,,,,
550GC,"LAFAYETTE, IN",479,3,,,,,,,
550GD,"SPRINGFIELD, IL",627,3,,,,,,,
550GF,"MATTOON, IL",619,3,,,,,,,
552,"DAYTON, OH",454,1,,,,,,,
552GA,"MIDDLETOWN, OH",450,2,,,,,,,
552GB,"LIMA, OH",458,3,,,,,,,
552GC,"RICHMOND, IN",473,2,,,,,,,
552GD,"SPRINGFIELD, OH",455,2,,,,,,,
552MA,"DAYTON, OH (DES)",454,2,,,,,,,
553,"DETROIT, MI",482,1,,,,,,,
553BU,"DETROIT, MI   (HOMELESS DRRTP)",483,2,,,,,,,
553GA,"YALE, MI",480,3,,,,,,,
553GB,"PONTIAC, MI",483,2,,,,,,,
554,"DENVER, CO",802,1,,,,,,,
554GB,"AURORA, CO",800,2,,,,,,,
554GC,"GOLDEN CLINIC, CO CBOC",804,2,,,,,,,
554GD,"PUEBLO, CO",810,2,,,,,,,
554GE,"COLORADO SPRINGS, CO",809,2,,,,,,,
554GF,"ALAMOSA, CO",811,3,,,,,,,
554GG,"LA JUNTA, CO",810,3,,,,,,,
554GH,"LAMAR, CO  CBOC",810,3,,,,,,,
554GI,"BURLINGTON, CO",808,3,,,,,,,
554HB,"FORT MORGAN, CO",807,3,,,,,,,
554MA,"FORT CARSON, CO (DES)",802,2,,,,,,,
554MB,"USAF ACADEMY, CO (DES)",808,2,,,,,,,
554MC,"AURORA, CO (DES) (BUCKLEY AFB)",800,2,,,,,,,
554MD,"PETERSON AFB, CO (DES)",809,2,,,,,,,
556,"CHICAGO, IL (NORTH VAMC)",600,1,,,,,,,
556GA,"EVANSTON, IL",602,2,,,,,,,
556GC,"MCHENRY, IL",600,2,,,,,,,
556GD,"KENOSHA, WI",531,2,,,,,,,
556MA,"NORTH CHICAGO, IL (DES)",600,2,,,,,,,
557,"DUBLIN, GA",310,1,,,,,,,
557GA,"MACON, GA",312,3,,,,,,,
557GB,"ALBANY, GA",317,3,,,,,,,
557GC,"MILLEDGEVILLE, GA",310,3,,,,,,,
557GE,"BRUNSWICK, GA",315,3,,,,,,,
557HA,"KATHLEEN, GA",310,3,,,,,,,
557MA,"ROBINS AFB, GA (DES)",310,2,,,,,,,
558,"DURHAM, NC",277,1,,,,,,,
558GA,"GREENVILLE, NC",278,3,,,,,,,
558GB,"RALEIGH, NC",276,2,,,,,,,
558GC,"MOOREHEAD CITY, NC",285,3,,,,,,,
558GD,"DURHAM COUNTY VA CLINIC, NC",277,2,,,,,,,
558GE,"HILLANDALE ROAD VA CLINIC, NC",277,2,,,,,,,
558GF,WAKE COUNTY VA CLINIC,276,3,,,,,,,
558MA,"CHERRY POINT, NC (DES)",285,2,,,,,,,
558QA,"BRIER CREEK VA CLINIC,NC",276,3,,,,,,,
561,"EAST ORANGE, NJ",070,1,,,,,,,
561A4,"LYONS, NJ",079,1,,,,,,,
561BY,"NEWARK, NJ (SAC)",071,2,,,,,,,
561BZ,"BRICK, NJ",087,3,,,,,,,
561GA,"HAMILTON, NJ",086,2,,,,,,,
561GB,"ELIZABETH, NJ",072,2,,,,,,,
561GD,"HACKENSACK, NJ",076,2,,,,,,,
561GE,"JERSEY, NJ (JERSEY CITY)",073,2,,,,,,,
561GF,"PISCATAWAY, NJ",088,2,,,,,,,
561GH,"MORRISTOWN, NJ",079,2,,,,,,,
561GI,"TINTON FALLS, NJ",077,2,,,,,,,
561GJ,"PATERSON, NJ (CBOC)",075,2,,,,,,,
561HB,"JAMESBURG, NJ",088,2,,,,,,,
561MA,"EAST ORANGE, NJ (DES)",070,2,,,,,,,
562,"ERIE, PA",165,1,,,,,,,
562GA,"MEADVILLE, PA",163,2,,,,,,,
562GB,"ASHTABULA, OH",440,3,,,,,,,
562GC,"BRADFORD, PA",167,3,,,,,,,
562GD,"FRANKLIN, PA (VENANGO COUNTY)",163,3,,,,,,,
562GE,"WARREN CTY, PA",163,3,,,,,,,
564,"FAYETTEVILLE, AR",727,1,,,,,,,
564BY,"MOUNT VERNON, MO",657,3,,,,,,,
564DT,"FAYETTEVILLE, AR (SVH)",727,2,,,,,,,
564GA,"HARRISON, AR",726,3,,,,,,,
564GB,"FORT SMITH, AR",729,3,,,,,,,
564GC,"BRANSON, MO",656,3,,,,,,,
564GD,"OZARK, AR",729,3,,,,,,,
564GE,"JAY, OK",743,3,,,,,,,
565,"FAYETTEVILLE, NC",283,1,,,,,,,
565GA,"MIDWAY PARK, NC (JACKSONVILLE CBOC)",285,3,,,,,,,
