Sta #,VA Facility Location,ZIP 3,PBN,,,,,,,
437GA,"GRAFTON VA CLINIC, ND",582,2,,,,,,,
437GB,"BISMARCK VA CLINIC, ND",585,3,,,,,,,
437GC,"FERGUS FALLS VA CLINIC, MN",565,2,,,,,,,
437GD,"MINOT VA CLINIC, ND",587,2,,,,,,,
437GE,"BEMIDJI VA CLINIC, MN",566,2,,,,,,,
437GF,"WILLISTON VA CLINIC, ND",588,2,,,,,,,
437GI,"GRAND FORKS VA CLINIC, ND",582,2,,,,,,,
437GJ,"DICKINSON VA CLINIC, ND",586,3,,,,,,,
437GK,"JAMESTOWN VA CLINIC, ND",584,3,,,,,,,
437GL,"DEVILS LAKE VA CLINIC, ND",583,3,,,,,,,
437MA,"FARGO, ND (DES) (MINOT AFB)",587,2,,,,,,,
437MB,"FARGO, ND (DES) (GRAND FORKS AFB)",582,2,,,,,,,
437PB,"FARGO, ND (PRRTP)",581,2,,,,,,,
438,"ROYAL C. JOHNSON VAMC, SD",571,1,,,,,,,
438GA,"SPIRIT LAKE VA CLINIC, SD",513,2,,,,,,,
438GC,"SIOUX CITY VA CLINIC, IA",511,2,,,,,,,
438GD,"ABERDEEN VA CLINIC, SD",574,2,,,,,,,
438GE,"WAGNER VA CLINIC, SD",573,2,,,,,,,
438GF,"WATERTOWN VA CLINIC, SD",572,2,,,,,,,
438QA,"SIOUX FALLS VA CLINIC, SD",571,2,,,,,,,
442,"CHEYENNE VA MEDICAL CENTER, WY",820,1,,,,,,,
442GB,"SIDNEY VA CLINIC, NE",691,2,,,,,,,
442GC,"FORT COLLINS VA CLINIC, CO",805,2,,,,,,,
442GD,"GREELEY VA CLINIC, CO",806,2,,,,,,,
442HK,"WHEATLAND VA MOBILE CLINIC, WY",822,2,,,,,,,
442MA,"F.E. WARREN, WY (DES) (WARREN AFB)",820,2,,,,,,,
442QA,"RAWLINS VA CLINIC, WY",823,2,,,,,,,
442QB,"TORRINGTON VA MOBILE CLINIC, WY",822,2,,,,,,,
442QC ,"WHEATLAND FRONTAGE 3 MOBILE, WY",820,2,,,,,,,
459,"SPARK M. MATSUNAGA VAMC, HI",968,1,,,,,,,
459GA,"MAUI VA CLINIC, HI",967,2,,,,,,,
459GB,"HILO, HI",967,2,,,,,,,
459GC,"KAILUA KONA, HI",967,2,,,,,,,
459GD,"LIHUE, HI",967,2,,,,,,,
459GE,VA GUAM CBOC,969,3,,,,,,,
459GF,AMERICAN SAMOA VA CLINIC,967,2,,,,,,,
459GG,"LEEWARD OAHU VA CLINIC, HI",967,2,,,,,,,
459GH,"SAIPAN VA CLINIC, HI",969,3,,,,,,,
459MA,"HONOLULU, HI (DES)",968,2,,,,,,,
459QA,"LANAI VA CLINIC, HI",967,3,,,,,,,
459QB,"MOLOKAI VA CLINIC, HI",967,3,,,,,,,
460,"WILMINGTON VA MEDICAL CENTER, DE",198,1,,,,,,,
460GA,"SUSSEX COUNTY VA CLINIC, DE",199,2,,,,,,,
460GC,"KENT COUNTY VA CLINIC, DE",199,2,,,,,,,
460GD,"CAPE MAY, NJ (CBOC)",082,3,,,,,,,
460HE,"ATLANTIC COUNTY VA CLINIC, NJ",082,3,,,,,,,
460HG,"CUMBERLAND COUNTY VA CLINIC, NJ",083,2,,,,,,,
460HK,"WILMINGTON VA MOBILE CLINIC, DE ",198,2,,,,,,,
460MA,"WILMINGTON, DE (DES)",198,2,,,,,,,
463,"ANCHORAGE VA MEDICAL CENTER, AK",995,1,,,,,,,
463GA,"FAIRBANKS VA CLINIC, AK",997,3,,,,,,,
463GB,"KENAI VA CLINIC, AK",996,2,,,,,,,
463GC,"MAT-SU VA CLINIC, AK ",996,2,,,,,,,
463GD,"HOMER VA CLINIC, AK",996,3,,,,,,,
463GE,"JUNEAU VA CLINIC, AK",998,3,,,,,,,
463MA,"ANCHORAGE, AK (DES) (FORT RICHARDSON)",995,2,,,,,,,
463MB,"ANCHORAGE, AK (DES) (FORT WAINWRIGHT)",997,2,,,,,,,
463MC,"ANCHORAGE, AK (DES) (ELMENDORF AFB)",995,2,,,,,,,
463MD,"ANCHORAGE, AK (DES) (EIELSON AFB)",997,2,,,,,,,
501,"RAYMOND G. MURPHY VAMC, NM",871,1,,,,,,,
501BV,"GALLUP VA DOMICILIARY, NM",873,2,,,,,,,
501G2,"LAS VEGAS, NM",875,2,,,,,,,
501GA,"ARTESIA VA CLINIC, NM",882,2,,,,,,,
501GB,"FARMINGTON VA CLINIC, NM",874,2,,,,,,,
501GC,"SILVER CITY VA CLINIC, NM",880,2,,,,,,,
501GD,"GALLUP VA CLINIC, NM",873,2,,,,,,,
501GE,"ESPANOLA, NM",884,2,,,,,,,
501GH,"TRUTH OR CONSEQUENCES, NM",879,2,,,,,,,
501GI,"ALAMOGORDO VA CLINIC, NM",883,2,,,,,,,
501GJ,"DURANGO VA CLINIC, CO",813,2,,,,,,,
501GK,"SANTA FE VA CLINIC, NM",875,2,,,,,,,
501GM,"NORTHWEST METRO VA CLINIC, NM ",871,2,,,,,,,
501GN,"TAOS VA CLINIC, NM",875,3,,,,,,,
501HB,"RATON VA CLINIC, NM",877,2,,,,,,,
501MA,"ALBUQUERQUE, NM (DES)",871,2,,,,,,,
502,"ALEXANDRIA VA MEDICAL CENTER, LA",713,1,,,,,,,
502GA,"JENNINGS, LA",705,2,,,,,,,
502GB,"LAFAYETTE VA CLINIC, LA",705,2,,,,,,,
502GE,"LAKE CHARLES VA CLINIC, LA",706,3,,,,,,,
502GF,"FORT POLK VA CLINIC, LA",714,2,,,,,,,
502GG,"NATCHITOCHES VA CLINIC, LA",714,2,,,,,,,
502MA,"FT. POLK, LA (DES)",714,2,,,,,,,
502QB,"LAFAYETTE CAMPUS B VA CLINIC, LA",705,3,,,,,,,
503,"JAMES E. VAN ZANDT VAMC, PA",166,1,,,,,,,
503GA,"JOHNSTOWN VA CLINIC, PA",159,2,,,,,,,
503GB,"DU BOIS, PA",158,2,,,,,,,
503GC,"STATE COLLEGE VA CLINIC, PA",168,2,,,,,,,
503GD,"HUNTINGDON COUNTY VA CLINIC, PA",170,2,,,,,,,
503GE,"INDIANA COUNTY VA CLINIC, PA",157,2,,,,,,,
504,"THOMAS E. CREEK VAMC, TX",791,1,,,,,,,
504BY,"LUBBOCK, TX",794,2,,,,,,,
504BZ,"CLOVIS, NM",881,2,,,,,,,
504GA,"CHILDRESS VA CLINIC, TX",792,2,,,,,,,
504HB,"DALHART VA CLINIC, TX",790,2,,,,,,,
504MA,"CLOVIS, NM (DES)",881,2,,,,,,,
506,"ANN ARBOR VA MEDICAL CENTER, MI",481,1,,,,,,,
506GA,"TOLEDO VA CLINIC, OH",436,2,,,,,,,
506GB,"FLINT VA CLINIC, MI",485,2,,,,,,,
506GC,"JACKSON, MI",492,2,,,,,,,
506QA,"ANN ARBOR VA CLINIC, MI",481,2,,,,,,,
508,"ATLANTA VA MEDICAL CENTER, GA",300,1,,,,,,,
5089AA,"ATLANTA VA COMMUNITY LIVING CENTER, GA",300,1,,,,,,,
508BU,"VA DOM FORT McPHERSON, GA",303,2,,,,,,,
508GA,"FORT MACPHERSON VA CLINIC, GA ",303,2,,,,,,,
508GE,"OAKWOOD VA CLINIC, GA",305,2,,,,,,,
508GF,"AUSTELL VA CLINIC, GA",301,2,,,,,,,
508GG,"STOCKBRIDGE VA CLINIC, GA",302,2,,,,,,,
508GH,"LAWRENCEVILLE VA CLINIC, GA",300,2,,,,,,,
508GI,"NEWNAN VA CLINIC, GA",302,2,,,,,,,
508GJ,"BLAIRSVILLE VA CLINIC, GA",305,2,,,,,,,
508GK,"TRINKA DAVIS VETERANS VILLAGE, GA",301,2,,,,,,,
508GL,"ROME VA CLINIC, GA",301,3,,,,,,,
508QA,"DECATUR VA CLINIC, GA",300,2,,,,,,,
508QB,"EAST POINT VA CLINIC, GA",303,2,,,,,,,
508QC,"HENDERSON MILLS VA CLINIC, GA",303,2,,,,,,,
508QD,"OLD EASTPOINT VA CLINIC, GA",303,2,,,,,,,
508QE,"GWINNETT COUNTY VA CLINIC, GA",300,2,,,,,,,
508QF,"ATLANTA VA CLINIC, GA",300,2,,,,,,,
509,"CHARLIE A. NORWOOD VAMC, GA - DOWNTOWN DIVISION",309,1,,,,,,,
509A0,"CHARLIE A. NORWOOD VA MEDICAL CENTER, GA - UPTOWN DIVISION",309,1,,,,,,,
509GA,"ATHENS VA CLINIC, GA ",306,2,,,,,,,
509GB,"AIKEN VA CLINIC, SC",298,2,,,,,,,
509MA,"FORT GORDON, GA (DES)",309,2,,,,,,,
509QA,"STATESBORO VA CLINIC, GA",304,3,,,,,,,
512,"BALTIMORE VA MEDICAL CENTER, MD",212,1,,,,,,,
512A5,"PERRY POINT VAMC, MD",219,1,,,,,,,
512GA,"CAMBRIDGE VA CLINIC, MD",216,2,,,,,,,
512GC,"GLEN BURNIE VA CLINIC, MD",210,2,,,,,,,
512GD,"LOCH RAVEN VA CLINIC, MD",212,2,,,,,,,
512GE,"POCOMOKE CITY VA CLINIC, MD",218,3,,,,,,,
512GF,"FORT HOWARD VA CLINIC, MD",210,2,,,,,,,
512GG,"FT MEADE VA CLINIC, MD",207,2,,,,,,,
512MA,"FORT GEORGE G MEADE, MD (DES)",207,2,,,,,,,
512MB,"ANNAPOLIS, MD (DES)",214,2,,,,,,,
512PA,"PERRY POINT PRRTP, MD",219,2,,,,,,,
515,"BATTLE CREEK VA MEDICAL CENTER, MI",490,1,,,,,,,
515BY,"WYOMING VA CLINIC, MI",495,2,,,,,,,
515GA,"MUSKEGON VA CLINIC, MI",494,2,,,,,,,
515GB,"LANSING SOUTH VA CLINIC, MI",489,2,,,,,,,
515GC,"BENTON HARBOR VA CLINIC, MI",490,2,,,,,,,
515QA,"LANSING NORTH VA CLINIC, MI",489,3,,,,,,,
515QB,"CENTURY AVENUE VA CLINIC, MI",495,3,,,,,,,
516,"C.W. BILL YOUNG DEPT OF VAMC, FL",337,1,,,,,,,
516BZ,"LEE COUNTY VA CLINIC, FL",339,2,,,,,,,
516GA,"SARASOTA, FL",342,2,,,,,,,
516GB,"ST. PETERSBURG VA CLINIC, FL",337,2,,,,,,,
516GC,"PALM HARBOR VA CLINIC, FL",346,2,,,,,,,
516GD,"BRADENTON VA CLINIC, FL",342,2,,,,,,,
516GE,"PORT CHARLOTTE VA CLINIC, FL",339,2,,,,,,,
516GF,"NAPLES VA CLINIC, FL",341,2,,,,,,,
516GH,"SEBRING VA CLINIC, FL",338,2,,,,,,,
517,"BECKLEY VA MEDICAL CENTER, WV",258,1,,,,,,,
517GB,"GREENBRIER COUNTY VA CLINIC, WV",249,2,,,,,,,
517HK,"BECKLEY VA MOBILE CLINIC, WV ",247,2,,,,,,,
517QA,"PRINCETON VA CLINIC, WV",247,2,,,,,,,
518,"EDITH NOURSE ROGERS VAMC, MA",017,1,,,,,,,
518GA,"LYNN VA CLINIC, MA",019,2,,,,,,,
518GB,"HAVERHILL VA CLINIC, MA",018,2,,,,,,,
518GE,"GLOUCESTER VA CLINIC, MA",019,2,,,,,,,
518MA,"BEDFORD, MA (DES)",017,2,,,,,,,
519,"GEORGE H. O'BRIEN, JR., VAMC, TX",797,1,,,,,,,
519BU,"BIG SPRING, TX (DOM)",797,2,,,,,,,
519GA,"PERMIAN BASIN VA CLINIC, TX",797,2,,,,,,,
519GB,"HOBBS, NM",882,2,,,,,,,
519GD,"FORT STOCKTON VA CLINIC, TX",797,2,,,,,,,
519HC,"ABILENE VA CLINIC, TX",796,2,,,,,,,
519HD,"STAMFORD, TX",795,2,,,,,,,
519HF,"SAN ANGELO, TX",769,2,,,,,,,
519MA,"BIG SPRING, TX (DES) (GOODFELLOW)",797,2,,,,,,,
519MB,"BIG SPRING, TX (DES) (DYESS)",797,2,,,,,,,
520,"BILOXI VA MEDICAL CENTER, MS",395,1,,,,,,,
520BZ,"PENSACOLA VA CLINIC, FL ",325,2,,,,,,,
520GA,"MOBILE, AL",366,2,,,,,,,
520GB,"PANAMA CITY BEACH VA CLINIC, FL",324,3,,,,,,,
520GC,"EGLIN AIR FORCE BASE VA CLINIC, FL",325,2,,,,,,,
520MA,"KEESLER AFB, MS (DES) (BILOXI)",395,2,,,,,,,
520MB,"PENSACOLA, FL (DES) (JACC)",325,2,,,,,,,
520MC,"PENSACOLA, FL (DES) (KEESLER AFB)",325,2,,,,,,,
520MD,"PENSACOLA, FL (DES) (GULFPORT)",395,2,,,,,,,
520ME,"PENSACOLA, FL (DES) (NAVAL HOSP. )",325,2,,,,,,,
520MF,"PENSACOLA, FL (DES) (HURLBURT FIELD)",325,2,,,,,,,
520MG,"PENSACOLA, FL (DES) (EGLIN AFB)",325,2,,,,,,,
520MH,"PENSACOLA, FL (DES) (PANAMA CITY (NAVAL))",325,2,,,,,,,
520MI,"PENSACOLA, FL (DES) (TYNDALL AFB)",325,2,,,,,,,
520QA,"PANAMA CITY BEACH WEST VA CLIN, FL",324,3,,,,,,,
521,"BIRMINGHAM VA MEDICAL CENTER, AL",352,1,,,,,,,
521GA,"HUNTSVILLE, AL",358,2,,,,,,,
521GC,"FLORENCE, AL",356,2,,,,,,,
521GD,"RAINBOW CITY VA CLINIC, AL",359,2,,,,,,,
521GE,"ANNISTON, AL",362,2,,,,,,,
521GF,"JASPER VA CLINIC, AL",355,2,,,,,,,
521GG,"BESSEMER VA CLINIC, AL",350,2,,,,,,,
521GH,"CHILDERSBURG VA CLINIC, AL ",350,2,,,,,,,
521GI,"GUNTERSVILLE VA CLINIC, AL",359,2,,,,,,,
521GJ,"BIRMINGHAM VA CLINIC, AL",352,2,,,,,,,
521MA,"HUNTSVILLE, AL (DES)",358,2,,,,,,,
521QA,"CALLAHAN VA CLINIC, AL",352,2,,,,,,,
523,"JAMAICA PLAIN VAMC, MA",021,1,,,,,,,
523A4,"WEST ROXBURY VA MEDICAL CENTER, MA",021,1,,,,,,,
523A5,"BROCKTON VA MEDICAL CENTER, MA",024,1,,,,,,,
523BY,"LOWELL VA CLINIC, MA",018,2,,,,,,,
523BZ,"CAUSEWAY VA CLINIC, MA",021,2,,,,,,,
523GA,"FRAMINGHAM VA CLINIC, MA",017,2,,,,,,,
523GC,"QUINCY VA CLINIC, MA",021,2,,,,,,,
523GD,"PLYMOUTH VA CLINIC, MA",023,3,,,,,,,
523MA,"BOSTON, MA (DES)",021,2,,,,,,,
523QA,"BOSTON VA MOBILE CLINIC, MA ",021,2,,,,,,,
526,"JAMES J. PETERS VAMC, NY",104,1,,,,,,,
526GA,"WHITE PLAINS VA CLINIC, NY",106,2,,,,,,,
526GB,"YONKERS VA CLINIC, NY",107,2,,,,,,,
526GD,"THOMAS P. NOONAN JR. VA OPC, NY",111,2,,,,,,,
526QA,"BRONX VA MOBILE CLINIC, NY",104,2,,,,,,,
528,"BUFFALO VA MEDICAL CENTER, NY",142,1,,,,,,,
528A4,"VA WESTERN NEW YORK HEALTHCARE SYSTEM AT BATAVIA, NY",140,1,,,,,,,
528A5,"CANANDAIGUA VA MEDICAL CENTER, NY",144,1,,,,,,,
528A6,"BATH VA MEDICAL CENTER, NY",148,1,,,,,,,
528A7,"SYRACUSE VA MEDICAL CENTER, NY",132,1,,,,,,,
528A8,"SAMUEL S. STRATTON VAMC, NY",122,1,,,,,,,
528G2,"WESTPORT VA CLINIC, NY",129,2,,,,,,,
528G3,"BAINBRIDGE VA CLINIC, NY",137,2,,,,,,,
528G4,"ELMIRA VA CLINIC, NY",149,2,,,,,,,
528G5,"AUBURN VA CLINIC, NY",130,2,,,,,,,
528G6,"FONDA VA CLINIC, NY",120,2,,,,,,,
528G7,"CATSKILL VA CLINIC, NY",124,2,,,,,,,
528G8,"WELLSVILLE VA CLINIC, NY",148,2,,,,,,,
528G9,"TOMPKINS COUNTY VA CLINIC, NY",130,2,,,,,,,
528GB,"JAMESTOWN VA CLINIC, NY",147,2,,,,,,,
528GC,"DUNKIRK VA CLINIC, NY",140,2,,,,,,,
528GD,"NIAGARA FALLS VA CLINIC, NY",143,2,,,,,,,
528GE,"ROCHESTER VA CLINIC, NY",146,2,,,,,,,
528GK,"LOCKPORT VA CLINIC, NY",140,2,,,,,,,
528GL,"MASSENA VA CLINIC, NY",136,2,,,,,,,
528GM,"DONALD J. MITCHELL VA OPC, NY",134,2,,,,,,,
528GN,"BINGHAMTON VA CLINIC, NY",139,2,,,,,,,
528GO,"WATERTOWN VA CLINIC, NY",136,2,,,,,,,
528GP,"OSWEGO VA CLINIC, NY",131,2,,,,,,,
528GQ,"LACKAWANNA VA CLINIC, NY",142,2,,,,,,,
528GR,"OLEAN VA CLINIC, NY",147,2,,,,,,,
528GT,"GLENS FALLS VA CLINIC, NY",128,2,,,,,,,
528GV,"PLATTSBURGH VA CLINIC, NY",129,2,,,,,,,
528GW,"SCHENECTADY VA CLINIC, NY",123,2,,,,,,,
528GX,"TROY VA CLINIC, NY",121,2,,,,,,,
528GY,"CLIFTON PARK VA CLINIC, NY",120,2,,,,,,,
528GZ,"KINGSTON VA CLINIC, NY",124,2,,,,,,,
528MA,"WATERTOWN, NY (DES)",136,2,,,,,,,
528QA,"BUFFALO VA CLINIC, NY",142,2,,,,,,,
528QB,"SAINT VINCENT DEPAUL VA CLINIC, NY",142,2,,,,,,,
528QC,"CLINTON CROSSINGS VA CLINIC, NY",146,2,,,,,,,
528QD,"MOUNT HOPE VA CLINIC, NY",146,2,,,,,,,
528QE,"COUDERSPORT VA CLINIC, NY",169,3,,,,,,,
528QF,"WELLSBORO VA CLINIC, NY",169,3,,,,,,,
528QG,"ERIE WEST VA CLINIC, NY",132,2,,,,,,,
528QH,"EAST FAYETTE VA CLINIC, NY",132,2,,,,,,,
528QI,"ERIE EAST VA CLINIC, NY",132,2,,,,,,,
528QK,"SARANAC LAKE VA CLINIC, NY",129,3,,,,,,,
528QL,"BATH VA MOBILE CLINIC, NY",148,2,,,,,,,
528QM,"CANANDAIGUA VA MOBILE CLINIC, NY",144,2,,,,,,,
528QN,"WATERTOWN 2 VA CLINIC, NY",136,3,,,,,,,
529,"BUTLER VA MEDICAL CENTER, PA",160,1,,,,,,,
529GA,"MICHAEL A. MARZZANO VA OPC, PA",161,2,,,,,,,
529GB,"LAWRENCE COUNTY VA CLINIC, PA",161,2,,,,,,,
529GC,"ARMSTRONG COUNTY VA CLINIC, PA",162,2,,,,,,,
529GD,"CLARION COUNTY VA CLINIC, PA",162,2,,,,,,,
529GF,"CRANBERRY TOWNSHIP VA CLINIC, PA",160,2,,,,,,,
531,"BOISE VA MEDICAL CENTER, ID",837,1,,,,,,,
531GE,"TWIN FALLS VA CLINIC, ID",833,2,,,,,,,
531GG,"CALDWELL VA CLINIC, ID ",836,2,,,,,,,
531GH,"BURNS VA CLINIC, OR",977,3,,,,,,,
531GI,"MOUNTAIN HOME VA CLINIC, ID",836,3,,,,,,,
531GJ,"SALMON VA CLINIC, ID",834,3,,,,,,,
531JA,"SALMON ORC, ID",834,3,,,,,,,
531JB,"BURNS ORC, OR",977,3,,,,,,,
531MA,"BOISE, ID  MOUNTAIN HOME AFB (DES)",836,2,,,,,,,
531MB,"BOISE, ID IDAHO ARMY NG (DES)",837,2,,,,,,,
534,"RALPH H. JOHNSON VAMC, SC",294,1,,,,,,,
534BY,"SAVANNAH, GA",314,2,,,,,,,
534GB,"MYRTLE BEACH VA CLINIC, SC",295,2,,,,,,,
534GC,"BEAUFORT VA CLINIC, SC",299,2,,,,,,,
534GD,"GOOSE CREEK VA CLINIC, SC",294,2,,,,,,,
534GE,"HINESVILLE VA CLINIC, GA",313,2,,,,,,,
534GF,"TRIDENT 1 VA CLINIC, SC",294,2,,,,,,,
534MA,"BEAUFORT, SC (DES) (NAV HOSP BEAUFORT)",299,2,,,,,,,
534MB,"GOOSE CREEK, SC (DES) (NAV HLTH CLINIC CHARLESTON)",294,2,,,,,,,
534MC,"CHARLESTON, SC (DES) (CHARLESTON AFB)",294,2,,,,,,,
534MD,"FT STEWART, GA (DES)",313,2,,,,,,,
534QA,"MARKET COMMONS VA CLINIC, SC",295,3,,,,,,,
534QB,"TRIDENT 2 VA CLINIC, SC",294,2,,,,,,,
534QC,"CHARLESTON VA CLINIC, SC",294,2,,,,,,,
537,"JESSE BROWN VAMC, IL.",606,1,,,,,,,
537BY,"ADAM BENJAMIN JR. VA OPC, IN",463,2,,,,,,,
537GA,"CHICAGO HEIGHTS VA CLINIC, IL",604,2,,,,,,,
537GD,"LAKESIDE VA CLINIC, IL",606,2,,,,,,,
537HA,"AUBURN - GRESHAM CBOC, IL.",606,2,,,,,,,
537QA,"CHICAGO VA CLINIC, IL",606,2,,,,,,,
538,"CHILLICOTHE VA MEDICAL CENTER, OH",456,1,,,,,,,
538GA,"ATHENS VA CLINIC, OH",457,2,,,,,,,
538GB,"PORTSMOUTH VA CLINIC, OH",456,2,,,,,,,
538GC,"MARIETTA VA CLINIC, OH",457,2,,,,,,,
538GD,"LANCASTER VA CLINIC, OH",431,2,,,,,,,
538GE,"CAMBRIDGE VA CLINIC, OH ",437,2,,,,,,,
538GF,"WILMINGTON VA CLINIC, OH",451,3,,,,,,,
538QA,"CHILLICOTHE VA MOBILE CLINIC, OH",456,2,,,,,,,
539,"CINCINNATI VA MEDICAL CENTER, OH",452,1,,,,,,,
5399AA,"CINCINNATI COMMUNITY LIVING CENTER, OH",452,1,,,,,,,
5399AB,"FORT THOMAS COMMUNITY LIVING CENTER, KY",410,1,,,,,,,
539A4,"CINCINNATI VAMC-FORT THOMAS, KY",410,1,,,,,,,
539BV,"FORT THOMAS PRRTP, KY ",410,2,,,,,,,
539GA,"BELLEVUE VA CLINIC, KY",410,2,,,,,,,
539GB,"CLERMONT COUNTY VA CLINIC, OH ",452,2,,,,,,,
539GC,"DEARBORN VA CLINIC, IN",470,2,,,,,,,
539GD,"FLORENCE VA CLINIC, OH ",410,2,,,,,,,
539GE,"HAMILTON VA CLINIC, OH",450,2,,,,,,,
539GF,"GEORGETOWN VA CLINIC, OH ",451,2,,,,,,,
539QA,"CINCINNATI VA MOBILE CLINIC, OH",452,2,,,,,,,
539QB,"HIGHLAND AVENUE VA CLINIC, OH",452,2,,,,,,,
540,"LOUIS A. JOHNSON VAMC, WV",263,1,,,,,,,
540GA,"TUCKER COUNTY VA CLINIC, WV",262,2,,,,,,,
540GB,"PARKERSBURG, WV",261,2,,,,,,,
540GC,"BRAXTON COUNTY VA CLINIC, WV",266,2,,,,,,,
540GD,"MONONGALIA COUNTY VA CLINIC, WV ",265,2,,,,,,,
540HK,"CLARKSBURG VA MOBILE CLINIC, WV",263,2,,,,,,,
541,"LOUIS STOKES CLEVELAND VAMC, OH ",441,1,,,,,,,
541BY,"CANTON, OH",447,2,,,,,,,
541BZ,"YOUNGSTOWN, OH",445,2,,,,,,,
541GB,"LORAIN VA CLINIC, OH",440,2,,,,,,,
541GC,"SANDUSKY VA CLINIC, OH",448,2,,,,,,,
541GD,"DAVID F. WINDER VA CBOC, OH",449,2,,,,,,,
541GE,"MCCAFFERTY VA CLINIC, OH",441,2,,,,,,,
541GF,"PAINESVILLE VA CLINIC, OH",440,2,,,,,,,
541GG,"AKRON VA CLINIC, OH",443,2,,,,,,,
541GH,"EAST LIVERPOOL VA CLINIC, OH",439,2,,,,,,,
541GI,"WARREN VA CLINIC, OH",444,2,,,,,,,
541GJ,"NEW PHILADELPHIA VA CLINIC, OH",446,2,,,,,,,
541GK,"RAVENNA VA CLINIC, OH",442,2,,,,,,,
541GL,"PARMA VA CLINIC, OH",441,2,,,,,,,
541GM,"CLEVELAND VA CLINIC-SUPERIOR, OH",441,2,,,,,,,
541GN,"STATE STREET VA CLINIC, OH",440,2,,,,,,,
541QA,"SUMMIT COUNTY VA CLINIC, OH",443,2,,,,,,,
541QB,"CLEVELAND VA CLINIC-EUCLID, OH",441,2,,,,,,,
541QC,"CLEVELAND 1 VA MOBILE CLINIC, OH",441,2,,,,,,,
541QD,"CLEVELAND 2 VA MOBILE CLINIC, OH",441,2,,,,,,,
541QE,"CLEVELAND EAST BLVD 3 MBL CLN, OH",441,2,,,,,,,
541QF,"CUYAHOGA COUNTY 4 VA MBL CLN, OH",441,2,,,,,,,
542,"COATESVILLE VA MEDICAL CENTER, PA",193,1,,,,,,,
542BU,"COATESVILLE DOMICILIARY, PA",193,2,,,,,,,
542GA,"SPRINGFIELD, PA",190,2,,,,,,,
542GE,"SPRING CITY VA CLINIC, PA",194,2,,,,,,,
544,"WM. JENNINGS BRYAN DORN VAMC, SC",292,1,,,,,,,
544BZ,"GREENVILLE VA CLINIC, SC",296,2,,,,,,,
544GB,"FLORENCE VA CLINIC, SC",295,2,,,,,,,
544GC,"ROCK HILL VA CLINIC, SC",297,2,,,,,,,
544GD,"ANDERSON VA CLINIC, SC",296,2,,,,,,,
544GE,"ORANGEBURG VA CLINIC, SC",291,2,,,,,,,
544GF,"SUMTER VA CLINIC, SC",291,2,,,,,,,
544GG,"SPARTANBURG VA CLINIC, SC",293,2,,,,,,,
