23,TRUE,2012-01-30,VERIFIED,220,PSJ*5*253,Routine,INPATIENT MEDICATIONS,PSJ_5_P253_P254_RN.DOC
24,TRUE,2012-01-30,VERIFIED,221,PSJ*5*254,Routine,INPATIENT MEDICATIONS,"PSJ_5_NURSE_UM_R0112.PDF
PSJ_5_P254_NURSE_UM_CP.PDF
PSJ_5_PHAR_UM_R0112.PDF
PSJ_5_P254_PHAR_UM_CP.PDF
PSJ_5_TM_R0122.PDF
PSJ_5_P254_TM_CP.PDF
PSJ_5_P253_P254_RN.DOC"
25,TRUE,2012-01-30,VERIFIED,49,PSB*3*58,Routine,BAR CODE MED ADMIN,"PSB3_0P58.EXE CONTAINS: 
  BCMA.CHM
  BCMA.EXE
  BCMAPAR.EXE
  BCMAPAR.CHM
PSB_3_UM_CHAPTERS_1_THRU_4_R0112.PDF
PSB_3_UM_CHAPTERS_5_THRU_11_R0112.PDF
PSB_3_MAN_UM_R0112.PDF
PSB_3_P58_MAN_UM_CP.PDF
PSB_3_P58_RN.PDF
PSB3_0P58_MSI.ZIP
PSB3_0P58_SRC.ZIP"
26,TRUE,2012-01-31,VERIFIED,19,WEBV*1*24,Informational,VISTA WEB,"WEBV_1_24_IB.PDF
WEBV_1_24_TM.PDF
WEBV_1_24_UM.PDF"
27,TRUE,2012-01-31,VERIFIED,301,OR*3*324,Routine,ORDER ENTRY/RESULTS REPORTING,
28,TRUE,2012-02-06,VERIFIED,298,PSN*4*312,Routine,NATIONAL DRUG FILE,NDF4P312.KID
29,TRUE,2012-02-06,VERIFIED,326,PSO*7*384,Routine,OUTPATIENT PHARMACY,
30,TRUE,2012-02-06,VERIFIED,327,PSO*7*379,Routine,OUTPATIENT PHARMACY,ALSO MOCHA FOLDER
31,TRUE,2012-02-06,VERIFIED,147,PSS*1*168,Routine,PHARMACY DATA MANAGEMENT,ALSO MOCHA FOLDER
32,TRUE,2012-02-13,VERIFIED,480,SD*5.3*575,Routine,SCHEDULING,"PCMM_GUI_1_3_0_26.ZIP
SD_5_3_575RN.DOC
SD_5_3_575RN.PDF",,
33,TRUE,2012-02-13,VERIFIED,302,OR*3*340,Routine,ORDER ENTRY/RESULTS REPORTING,"CPRSGUIUM.DOC -- ALSO IN CPRS FOLDER
CPRSGUIIM.DOC
OR_3_340RN.DOCX
OR_3_340RN.PDF",,
34,TRUE,2012-02-13,VERIFIED,105,XT*7.3*118,Routine,KERNEL TOOLKIT,,,
35,TRUE,2012-02-14,VERIFIED,73,LEX*2*81,Patch for a Patch,LEXICON UTILITY,,,
36,TRUE,2012-02-14,VERIFIED,18,MD*1*12,Routine,CLINICAL PROCEDURES,"MD1_0P12.KID
MD1_0P12.DOC.ZIP",,
37,TRUE,2012-02-16,VERIFIED,12,BPS*1*11,Enhancement,E-CLAIMS MGMT ENGINE,"BPS_1_11_PSO_IB_PSX.KID
BPS_1_P11_RN.PDF
BPS_1_P11_UM.PDF
BPS_1_P11_TM.PDF",,
38,TRUE,2012-02-16,VERIFIED,63,PSX*2*73,Enhancement,CMOP,"BPS_1_11_PSO_IB_PSX.KID
PSX_2_P73_RN.PDF",,
39,TRUE,2012-02-16,VERIFIED,328,PSO*7*385,Routine,OUTPATIENT PHARMACY,"BPS_1_11_PSO_IB_PSX.KID
PSO_7_P385_RN.PDF
PSO_7_MAN_UM_R0212.PDF
PSO_7_P385_MAN_UM_CP.PDF
PSO_7_PHAR_UM_R0212.PDF
PSO_7_P385_PHAR_UM_CP.PDF
PSO_7_TECH_UM_R0212.PDF
PSO_7_P385_TECH_UM_CP.PDF
PSO_7_TM_R0212.PDF
PSO_7_P385_RM_CP.PDF",,
40,TRUE,2012-02-16,VERIFIED,431,IB*2*452,Data Dictionary,INTERGRATED BILLING,"BPS_1_11_PSO_IB_PSX.KID
IB_2_0_P452_RN.PDF
IB_2_0_P452_TM.PDF",,
41,FALSE,2012-02-16,VERIFIED,39,VBEC*1*40,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS,,
42,TRUE,2012-02-17,VERIFIED,466,XU*8*594,Routine,KERNEL,,,
43,TRUE,2012-02-17,VERIFIED,251,PRCA*4.5*275,Enhancement,ACCOUNTS RECEIVABLE,"ECLAIMS_5_5010.KID
PRCA_4_5_P275_RN.PDF
PRCA_4_5_P275_TM.PDF",,
44,TRUE,2012-02-17,VERIFIED,432,IB*2*447,Routine,INTERGRATED BILLING,"ECLAIMS_5_5010.KID
IB_2_0_P447_RN.PDF
EDI_USER_GUIDE_R0312.PDF
IB_2_0_P447_TM.PDF",,
45,TRUE,2012-02-21,VERIFIED,299,PSN*4*313,Routine,NATIONAL DRUG FILE,NDF4P313.KID,,
46,TRUE,2012-02-21,VERIFIED,300,PSN*4*314,Routine,NATIONAL DRUG FILE,NDF4P314.KIDs,,
47,TRUE,2012-02-21,VERIFIED,301,PSN*4*297,Routine,NATIONAL DRUG FILE,PSN-4_SEQ-301_PAT-297.KID
47,FALSE,2012-02-24,VERIFIED,3,OHRS*1.4*3,Informational,CISS_OHRS,WEB BASED ONLY - nothing on site,,
48,FALSE,2012-02-27,VERIFIED,59,DENT*1.2*62,Routine,DENTAL,PROHIBITED
49,TRUE,2012-02-27,VERIFIED,137,PRC*5.1*166,Routine,IFCAP,
50,TRUE,2012-02-27,VERIFIED,467,XU*8*535,Routine,KERNEL,
51,TRUE,2012-02-27,VERIFIED,326,LR*5.2*413,Routine,LABORATORY,
52,TRUE,2012-02-27,VERIFIED,222,PSJ*5*227,Routine,INPATIENT MEDICATIONS,
53,TRUE,2012-03-01,VERIFIED,468,XU*8*573,Routine,KERNEL,
54,TRUE,2012-03-05,VERIFIED,433,IB*2*468,Routine,INTERGRATED BILLING,IBRC1201A-F.TXT
55,TRUE,2012-03-06,VERIFIED,2,CRHD*1*4,Informational,SHIFT HANDOFF TOOL,CRHD_1_4.ZIP
56,TRUE,2012-03-06,VERIFIED,26,FH*5.5*27,Routine,NUTRITION & FOOD SERVICES,
57,TRUE,2012-03-07,VERIFIED,148,PSS*1*156,Routine,PHARMACY DATA MANAGEMENT,"PSS_1_UM_R0312.PDF
PSS_1_P156_UM_CP.PDF
PSO_7_354_PSS_1_156_RN.PDF"
58,TRUE,2012-03-07,VERIFIED,329,PSO*7*354,Routine,OUTPATIENT PHARMACY,"PSO_7_MAN_UM_R0312.PDF
PSO_7_P354_MAN_UM_CP.PDF
PSO_7_PHAR_UM_R0312.PDF
PSO_7_P354_PHAR_UM_CP.PDF
PSO_7_TM_R0312.PDF
PSO_7_P354_TM_CP.PDF
PSO_7_354_PSS_1_156_RN.PDF"
59,TRUE,2012-03-07,VERIFIED,112,FB*3.5*130,Enhancement,FEE BASIS,INIT_8_ARC_IB_INCR2_2020229.PDF
60,TRUE,2012-03-08,VERIFIED,16,PXRM*2*23,Routine,CLINICAL REMINDERS,"ARCH_PILOT_PROJECT_INCREMENT_3_0.KID
INIT8_ARC3_INSTALLATIONUSERGUIDE.PDF"
61,TRUE,2012-03-08,VERIFIED,113,FB*3.5*138,Routine,FEE BASIS,"ARCH_PILOT_PROJECT_INCREMENT_3_0.KID
INIT8_ARC3_INSTALLATIONUSERGUIDE.PDF"
62,TRUE,2012-03-08,VERIFIED,2,VDEF*1*10,Enhancement,VISTA DATA EXTRACTION,
63,TRUE,2012-03-12,VERIFIED,302,PSN*4*315,Routine,NATIONAL DRUG FILE,NDF4P315.KIDs
64,TRUE,2012-03-13,VERIFIED,469,XU*8*574,Routine,KERNEL,,
65,FALSE,2012-03-15,VERIFIED,40,VBEC*1*41,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS,
66,TRUE,2012-03-15,VERIFIED,119,PRS*4*133,Routine,PAID,PAID_4_P133_UM_CP.PDF,
67,TRUE,2012-03-15,VERIFIED,252,PRCA*4.5*291,Informational,ACCOUNTS RECEIVABLE,,
68,TRUE,2012-03-19,VERIFIED,330,PSO*7*377,Routine,OUTPATIENT PHARMACY,,
69,TRUE,2012-03-19,VERIFIED,120,PRS*4*134,Routine,PAID,,
70,TRUE,2012-03-20,VERIFIED,481,SD*5.3*587,Routine,SCHEDULING,,
71,TRUE,2012-03-21,VERIFIED,303,OR*3*327,Routine,ORDER ENTRY/RESULTS REPORTING,,
72,TRUE,2012-03-21,VERIFIED,17,PXRM*2*18,Enhancement,CLINICAL REMINDERS,"HIGH_RISK_MH_1_0.KIDs
HRMHP_DOCS.ZIP",
73,TRUE,2012-03-21,VERIFIED,750,DG*5.3*836,Enhancement,REGISTRATION,"HIGH_RISK_MH_1_0.KIDs
HRMHP_DOCS.ZIP",
74,TRUE,2012-03-21,VERIFIED,92,GMTS*2.7*99,Enhancement,HEALTH SUMMARY,"HIGH_RISK_MH_1_0.KIDs
HRMHP_DOCS.ZIP",
75,TRUE,2012-03-21,VERIFIED,482,SD*5.3*578,Informational,SCHEDULING,"HIGH_RISK_MH_1_0.KIDs
HRMHP_DOCS.ZIP",
76,TRUE,2012-03-21,VERIFIED,242,TIU*1*260,Routine,TEXT INTEGRATION UTILITY,"HIGH_RISK_MH_1_0.KIDs
HRMHP_DOCS.ZIP",
77,TRUE,2012-03-21,VERIFIED,80,MAG*3*121,Routine,IMAGING,"MAG3_OP121.KIDs
MAG3_0P121_BPSETUP.EXE
MAG3_0P121_PATCH_DESCRIPTION.PDF
IMGTECHMAN.PDF
MAG_BP_USER_MANUAL.PDF
MAG_DISPLAY_USER_MANUAL.PDF",
78,TRUE,2012-03-22,VERIFIED,22,OOPS*2*23,Routine,ASSISTS,"OOPS2_P23.EXE
OOPS2_0UM.PDF
OOPS2_0IG.PDF",
79,TRUE,2012-03-22,VERIFIED,243,TIU*1*261,Enhancement,TEXT INTEGRATION UTILITY,"TIU_10_P261.KIDs
TIUUM.PDF
TIU1_0P261_PATCH_DESCRIPTION.DOC",
80,TRUE,2012-03-26,VERIFIED,19,DGBT*1*18,Routine,BENEFICIARY TRAVEL,
81,TRUE,2012-03-26,VERIFIED,147,RMPR*3*169,Routine,PROSTHETICS,RMPR_3_NPPDUM.PDF
82,TRUE,2012-03-26,VERIFIED,331,PSO*7*351,Routine,OUTPATIENT PHARMACY,
83,TRUE,2012-03-27,VERIFIED,303,PSN*4*316,Routine,NATIONAL DRUG FILE,NDF4P316.KIDS
84,TRUE,2012-03-27,VERIFIED,304,PSN*4*317,Routine,NATIONAL DRUG FILE,NDF4P317.KID
85,TRUE,2012-03-27,VERIFIED,470,XU*8*566,Data Dictionary,KERNEL,
86,TRUE,2012-03-27,VERIFIED,305,PSN*4*264,Data Dictionary,NATIONAL DRUG FILE,
87,TRUE,2012-03-27,VERIFIED,332,PSO*7*367,Routine,OUTPATIENT PHARMACY,"PSO_7_367.zip
contains docs:
PSO_7_PHAR_UM_R0312.PDF
PSO_7_P367_PHAR_UM_CP.PDF
PSO_7_TM_R0312.PDF
PSO_7_P367_TM_CP.PDF
PHAR_FDA_MED_GUIDE_REL3_RN.PDF
PHAR_FDA_MED_GUIDE_REL3_IB_VISTA.PDF
PHAR_FDA_MED_GUIDE_REL3_IB_JAVA.PDF"
88,TRUE,2012-03-27,VERIFIED,64,PSX*2*70,Enhancement,CMOP,"PSO_7_367.zip
contains docs:
PSO_7_PHAR_UM_R0312.PDF
PSO_7_P367_PHAR_UM_CP.PDF
PSO_7_TM_R0312.PDF
PSO_7_P367_TM_CP.PDF
PHAR_FDA_MED_GUIDE_REL3_RN.PDF
PHAR_FDA_MED_GUIDE_REL3_IB_VISTA.PDF
PHAR_FDA_MED_GUIDE_REL3_IB_JAVA.PDF"
89,TRUE,2012-03-28,VERIFIED,751,DG*5.3*797,Routine,REGISTRATION,"DG_53_P797.KID
DG_5_3_P797_REG_UM.PDF"
90,TRUE,2012-03-28,VERIFIED,62,DVB*4*62,Routine,HINQ,"DG_53_P797.KID
DVB_4_62_UM.PDF
DVB_4_62_TM.PDF"
91,TRUE,2012-03-28,VERIFIED,86,EAS*1*92,Routine,ENROLLMENT APPLICATION SYSTEM,"DG_53_P797.KID
EAS_1_92_UM.PDF"
92,TRUE,2012-03-28,VERIFIED,18,PXRM*2*21,Routine,CLINICAL REMINDERS,"DG_53_P797.KID
PXRM_2_21_MM.PDF"
93,TRUE,2012-03-28,VERIFIED,128,IVM*2*141,Routine,INCOME VERIFICATION MATCH,"DG_53_P797.KID
IVM_2_141_TM.PDF"
94,TRUE,2012-03-28,VERIFIED,333,PSO*7*360,Routine,OUTPATIENT PHARMACY,
95,TRUE,2012-03-29,VERIFIED,304,OR*3*314,Routine,ORDER ENTRY/RESULTS REPORTING,
96,TRUE,2012-04-02,VERIFIED,483,SD*5.3*591,Data Dictionary,SCHEDULING,
97,TRUE,2012-04-04,VERIFIED,223,PSJ*5*270,Routine,INPATIENT MEDICATIONS,
98,TRUE,2012-04-04,VERIFIED,224,PSJ*5*264,Routine,INPATIENT MEDICATIONS,
99,TRUE,2012-04-04,VERIFIED,27,FH*5.5*26,Routine,NUTRITION & FOOD SERVICES,
100,TRUE,2012-04-06,VERIFIED,19,MD*1*23,Other,CLINICAL PROCEDURES,"MD1_0P23.KID
MD_1_P23.IMPG.PDF
MD_1_P23_RN.PDF
MD_1_P23_UM.PDF"
101,TRUE,2012-04-09,VERIFIED,306,PSN*4*318,Routine,NATIONAL DRUG FILE,NDF4P318.KIDs
102,TRUE,2012-04-09,VERIFIED,471,XU*8*591,Routine,KERNEL,
103,TRUE,2012-04-09,VERIFIED,472,XU*8*582,Routine,KERNEL,
104,TRUE,2012-04-10,VERIFIED,43,NUR*4*43,Routine,NURSING,"NURS_4_P43_UM_CP.PDF
NURS_4_P43_RN.PDF"
105,TRUE,2012-04-10,VERIFIED,121,PRS*4*126,Routine,PAID,"PAID_4_P126_UM_CP.PDF
PAID_4_P126_RN.PDF"
106,TRUE,2012-04-11,VERIFIED,473,XU*8*513,Routine,KERNEL,
107,TRUE,2012-04-11,VERIFIED,43,XWB*1.1*57,Routine,RPC BROKER,
108,TRUE,2012-04-12,VERIFIED,484,SD*5.3*554,Routine,SCHEDULING,
109,TRUE,2012-04-17,VERIFIED,138,PRC*5.1*129,Routine,IFCAP,
110,TRUE,2012-04-17,VERIFIED,NEW,NUPA 1.0,NEW PACKAGE,PATIENT ASSESSMENT DOCUMENTATION,"NUPA_1_0.KID
NUPA.ZIP (CONTAINS ALL MANUALS)"
111,TRUE,2012-04-18,VERIFIED,225,PSJ*5*247,Routine,INPATIENT MEDICATIONS,
112,TRUE,2012-04-18,VERIFIED,253,PRCA*4.5*284,Routine,ACCOUNTS RECEIVABLE,"EPAYMENTS_USER_MANUAL_R0412.PDF
PRCA_4_5_P284_TM.PDF"
113,TRUE,2012-04-18,VERIFIED,434,IB*2*473,Routine,INTERGRATED BILLING,
114,TRUE,2012-04-18,VERIFIED,334,PSO*7*403,Routine,OUTPATIENT PHARMACY,
115,TRUE,2012-04-18,VERIFIED,305,OR*3*284,Routine,ORDER ENTRY/RESULTS REPORTING,
116,TRUE,2012-04-19,VERIFIED,86,YS*5.01*103,Other,MENTAL HEALTH,YS_501_103.ZIP (CONTAINS MANUALS AND KIDS FILE)
117,TRUE,2012-04-20,VERIFIED,752,DG*5.3*837,Routine,REGISTRATION,SEE RG*1*59
118,TRUE,2012-04-20,VERIFIED,58,RG*1*59,Routine,CLINICAL INFO RESOURCE NETWORK,"RG_1_0_P59UM.PDF
RG_1_0_P59TM.PDF"
119,TRUE,2012-04-20,VERIFIED,52,MPIF*1*54,Routine,MASTER PATIENT INDEX VISTA,SEE RG*1*59
120,FALSE,2012-04-20,VERIFIED,41,VBEC*1*42,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS
121,TRUE,2012-04-20,VERIFIED,139,PRC*5.1*159,Routine,IFCAP,"IFCP5_1TECH_MANUAL.PDF
IFCP5_1SECURITY_GUIDE.PDF"
122,TRUE,2012-04-23,VERIFIED,307,PSN*4*319,Routine,NATIONAL DRUG FILE,NDF4P319.KID
123,TRUE,2012-04-23,VERIFIED,308,PSN*4*320,Routine,NATIONAL DRUG FILE,NDF4P320.KIDs
124,TRUE,2012-04-23,VERIFIED,226,PSJ*5*273,Routine,INPATIENT MEDICATIONS,
125,TRUE,2012-04-23,VERIFIED,474,XU*8*595,Routine,KERNEL,
126,TRUE,2012-04-23,VERIFIED,227,PSJ*5*271,Routine,INPATIENT MEDICATIONS,
127,TRUE,2012-04-24,VERIFIED,55,ICD*18*55,Routine,DRG GROUPER,
128,TRUE,2012-04-25,VERIFIED,148,RMPR*3*163,Routine,PROSTHETICS,
129,TRUE,2012-04-26,VERIFIED,149,PSS*1*167,Routine,PHARMACY DATA MANAGEMENT,"PSS_1_TM_R0312.PDF
PSS_1_P167_TM_CP.PDF"
130,TRUE,2012-04-30,VERIFIED,228,PSJ*5*244,Routine,INPATIENT MEDICATIONS,
131,TRUE,2012-05-01,VERIFIED,475,XU*8*590,Routine,KERNEL,
132,TRUE,2012-05-02,VERIFIED,435,IB*2*477,Routine,INTERGRATED BILLING,
133,TRUE,2012-05-07,VERIFIED,309,PSN*4*321,Routine,NATIONAL DRUG FILE,NDF4P321.KIDs
134,TRUE,2012-05-08,VERIFIED,485,SD*5.3*566,Routine,SCHEDULING,
135,TRUE,2012-05-08,VERIFIED,327,LR*5.2*411,Routine,LABORATORY,
136,TRUE,2012-05-09,VERIFIED,229,PSJ*5*265,Routine,INPATIENT MEDICATIONS,
137,TRUE,2012-05-10,VERIFIED,436,IB*2*469,Routine,INTERGRATED BILLING,
138,TRUE,2012-05-14,VERIFIED,50,PSB*3*61,Routine,BAR CODE MED ADMIN,
139,TRUE,2012-05-15,VERIFIED,335,PSO*7*388,Routine,OUTPATIENT PHARMACY,
140,TRUE,2012-05-15,VERIFIED,74,LEX*2*82,Data Dictionary,CLINICAL LEXICON,LEX_2_82.GBLs
141,TRUE,2012-05-15,VERIFIED,56,ICD*18*63,Informational,DRG GROUPER,COMES IN WITH LEX*2*82
142,TRUE,2012-05-15,VERIFIED,57,ICPT*6*59,Informational,CPT/HCPCS CODES,COMES IN WITH LEX*2*82
143,TRUE,2012-05-15,VERIFIED,3,VDEF*1*11,Routine,VISTA DATA EXTRACTION,
144,TRUE,2012-05-16,VERIFIED,55,ONC*2.11*54,Routine,ONCOLOGY,ONC211P54.KID
145,FALSE,2012-05-18,VERIFIED,42,VBEC*1*43,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS
146,TRUE,2012-05-21,VERIFIED,230,PSJ*5*246,Routine,INPATIENT MEDICATIONS,
147,TRUE,2012-05-21,VERIFIED,106,XT*7.3*132,Routine,KERNEL TOOLKIT,
148,TRUE,2012-05-22,VERIFIED,310,PSN*4*322,Routine,NATIONAL DRUG FILE,NDF4P322.KID
149,TRUE,2012-05-22,VERIFIED,311,PSN*4*323,Routine,NATIONAL DRUG FILE,NDF4P323.KIDs
150,TRUE,2012-05-24,VERIFIED,4,OHRS*1.4*4,Informational,CISS_OHRS,CISS_OHRS_1_4_POM.pdf
151,TRUE,2012-05-24,VERIFIED,114,FB*3.5*131,Enhancement,FEE BASIS,"FEE3_5_TM_R0312.PDF
FEE3_5_P131_RN.PDF"
152,TRUE,2012-05-29,VERIFIED,122,PRS*4*127,Routine,PAID,
153,TRUE,2012-05-29,VERIFIED,254,PRCA*4.5*282,Routine,ACCOUNTS RECEIVABLE,
154,TRUE,2012-05-29,VERIFIED,336,PSO*7*332,Routine,OUTPATIENT PHARMACY,
155,TRUE,2012-05-31,VERIFIED,753,DG*5.3*845,Other,REGISTRATION,
156,FALSE,2012-06-01,VERIFIED,5,DSIV*2.2*6,Routine,INSURANCE CAPTURE BUFFER,PROHIBITED FROM FOIA DUE TO COPYRIGHT
157,TRUE,2012-06-01,VERIFIED,51,PSB*3*48,Routine,BAR CODE MED ADMIN,PSB_3_48.KID
158,TRUE,2012-06-04,VERIFIED,31,GEC*2*36,Routine,GENERIC CODE SHEET,
159,TRUE,2012-06-05,VERIFIED,52,PSB*3*71,Informational,BAR CODE MED ADMIN,
160,TRUE,2012-06-07,VERIFIED,87,YS*5.01*106,Routine,MENTAL HEALTH,"YS_501_106_RN.PDF
YS_501_106_RN.DOC"
161,TRUE,2012-06-07,VERIFIED,150,PSS*1*146,Routine,PHARMACY DATA MANAGEMENT,"PSS_1_P146_UM_CP.PDF
PSS_1_TM_R0612.PDF"
162,TRUE,2012-06-07,VERIFIED,169,SR*3*176,Routine,SURGERY,"SR_3_UM_R0312.PDF
SR_3_P176_UM_CP.PDF
SR_3_TM_R0312.PDF
SR_3_P176_TM_CP.PDF
SR_3_176_RN.PDF"
163,TRUE,2012-06-11,VERIFIED,312,PSN*4*324,Routine,NATIONAL DRUG FILE,NDF4P324.KIDs
164,TRUE,2012-06-12,VERIFIED,147,DI*22*168,Routine,VA FileMan,
165,FALSE,2012-06-15,VERIFIED,NEW,DSIR*8.2,NEW PACKAGE,RELEASE OF INFORMATION,PROHIBITED FROM FOIA DUE TO COPYRIGHT
166,FALSE,2012-06-15,VERIFIED,170,XM*DBA*176,Informational,MAILMAN,PROHIBITED 
167,TRUE,2012-06-18,VERIFIED,17,ROR*1.5*17,Routine,CLINICAL CASE REGISTRIES,"ROR1_5p17DOC1.ZIP
ROR1_5P17DOC2.ZIP"
168,TRUE,2012-06-18,VERIFIED,754,DG*5.3*856,Routine,REGISTRATION,
169,TRUE,2012-06-18,VERIFIED,123,PRS*4*135,Routine,PAID,
170,TRUE,2012-06-20,VERIFIED,53,PSB*3*67,Routine,BAR CODE MED ADMIN,
171,FALSE,2012-06-21,VERIFIED,43,VBEC*1*44,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS
172,TRUE,2012-06-22,VERIFIED,23,OOPS*2*24,Routine,ASSISTS,
173,TRUE,2012-06-25,VERIFIED,106,EC*2*112,Data Dictionary,EVENT CAPTURE,"EC_2_P112.ZIP
EC_2_P112_IG.DOC
EC_2_P112_UM.DOC
EC_2_P112_TM.DOC
EC_2_P112_RN.DOC"
174,TRUE,2012-06-25,VERIFIED,313,PSN*4*325,Routine,NATIONAL DRUG FILE,NDF4P325.KID
175,TRUE,2012-06-25,VERIFIED,314,PSN*4*326,Routine,NATIONAL DRUG FILE,NDF4P326.KIDs
176,TRUE,2012-06-25,VERIFIED,40,XM*8*44,Routine,MAILMAN,
177,TRUE,2012-06-25,VERIFIED,140,PRC*5.1*156,Routine,IFCAP,
178,TRUE,2012-06-27,VERIFIED,158,DVBA*2.7*179,Routine,AUTOMATED MED INFO EXCHANGE,"DVBA_27_P179_06.ZIP -- INCLUDES EXECUTABLES
DVBA_27_P179_RN.PDF
DVBA_27_P179_UM.PDF"
179,TRUE,2012-06-29,VERIFIED,437,IB*2*454,Enhancement,INTERGRATED BILLING,DG_53_P841.KID-ALSO IN COMBINED KIDS BUILD
180,TRUE,2012-06-29,VERIFIED,755,DG*5.3*841,Routine,REGISTRATION,"DG_53_P841.KID-ALSO IN COMBINED KIDS BUILD
DG_5_3_P841_REG_UM.PDF"
181,TRUE,2012-06-29,VERIFIED,756,DG*5.3*842,Routine,REGISTRATION,"DG_5_3_P842.KID-ALSO IN COMBINED KIDS BUILD
DG_5_3_P842_REG_UM.PDF
DG_5_3_P842_ADTBE_UM.PDF"
182,TRUE,2012-06-29,VERIFIED,129,IVM*2*150,Routine,INCOME VERIFICATION MATCH,"DG_5_3_P842.KID-ALSO IN COMBINED KIDS BUILD
IVM_2_150_TM.PDF"
183,TRUE,2012-07-02,VERIFIED,81,MAG*3*120,Routine,IMAGING,"MAG3_0P120.KIDs
MAG3_0P120_PATCH_DESCRIPTION.PDF
MAG3_0P120_TECHNICAL_MANUAL_CHANGES.PDF
MAG_VISTARAD_USER_GUIDE.PDF
MAG_VRAD_QUICK_REF.PDF
MAG_VRAD_QSG.PDF
MAG_VRAD_SHORTCUTS.PDF"
184,FALSE,2012-07-03,VERIFIED,12,DSIF*3.2*12,Other,FEE BASIS CLAIM SYSTEM,PROHIBITED FROM FOIA DUE TO COPYRIGHT
185,TRUE,2012-07-10,VERIFIED,315,PSN*4*327,Routine,NATIONAL DRUG FILE,NDF4P327.KIDs
186,TRUE,2012-07-10,VERIFIED,123,ECX*3*137,Routine,DSS EXTRACTS,
187,TRUE,2012-07-11,VERIFIED,244,TIU*1*252,Routine,TEXT INTEGRATION UTILITY,"TIUTM.DOC
TIUTM.PDF"
