Version 3.21 Update - Outpatient Facility,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base Charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date,End Date,
11301,CPT,SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
11302,CPT,SHVG SKN LESION 1 TRUNK/ARM/LEG DIAM 1.1-2.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
11303,CPT,SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM >2.0 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11305,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<,,30,,,$561.11,$0.00,1,0,1,20170101,,
11306,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
11307,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
11308,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM >2.0 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11310,CPT,SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<,,30,,,$561.11,$0.00,1,0,1,20170101,,
11311,CPT,SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
11312,CPT,SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11313,CPT,SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11400,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 0.5 CM/<,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11401,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 0.6-1.0 CM,,30,,,"$1,569.99",$0.00,1,0,1,20170101,,
11402,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 1.1-2.0 CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11403,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 2.1-3.0 CM/<,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11404,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 3.1-4.0 CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11406,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L >4.0 CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11420,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.5 CM/<,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11421,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11422,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11423,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 2.1-3.0CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11424,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 3.1-4.0CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11426,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G > 4.0CM,,30,,,"$10,509.56",$0.00,1,0,1,20170101,,
11440,CPT,EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11441,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11442,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11443,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11444,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11446,CPT,EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M > 4.0CM,,30,,,"$10,509.56",$0.00,1,0,1,20170101,,
11450,CPT,EXCISION HIDRADENITIS AXILLARY SMPL/INTRM RPR,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11451,CPT,EXCISION HIDRADENITIS AXILLARY COMPLEX REPAIR,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11462,CPT,EXCISION HIDRADENITIS INGUINAL SMPL/INTRM RPR,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11463,CPT,EXCISION HIDRADENITIS INGUINAL COMPLEX REPAIR,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11470,CPT,EXCISION H/P/P/U SIMPLE/INTERMEDIATE REPAIR,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11471,CPT,EXCISION H/P/P/U COMPLEX REPAIR,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11600,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 0.5 CM/<,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11601,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11602,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 1.1-2.0 CM,,30,,,"$1,569.99",$0.00,1,0,1,20170101,,
11603,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM/<,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11604,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 3.1-4.0 CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11606,CPT,EXCISION MALIGNANT LESION TRUNK/ARM/LEG > 4.0 CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11620,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 0.5 CM/<,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11621,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 0.6-1.0 CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11622,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 1.1-2.0 CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11623,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 2.1-3.0 CM/<,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11624,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 3.1-4.0 CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11626,CPT,EXCISION MALIGNANT LESION S/N/H/F/G >4.0 CM,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11640,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 0.5 CM/<,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11641,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 0.6-1.0 CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11642,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 1.1-2.0 CM,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11643,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 2.1-3.0 CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11644,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 3.1-4.0 CM,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11646,CPT,EXCISION MALIGNANT LESION F/E/E/N/L >4.0 CM,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11719,CPT,TRIMMING NONDYSTROPHIC NAILS ANY NUMBER,,30,,,$369.87,$0.00,1,0,1,20170101,,
11720,CPT,DEBRIDEMENT NAIL ANY METHOD 1-5,,30,,,$353.72,$0.00,1,0,1,20170101,,
11721,CPT,DEBRIDEMENT NAIL ANY METHOD 6/>,,30,,,$369.87,$0.00,1,0,1,20170101,,
11730,CPT,AVULSION NAIL PLATE PARTIAL/COMPLETE SIMPLE 1,,30,,,$561.11,$0.00,1,0,1,20170101,,
11732,CPT,AVULSION NAIL PLATE PARTIAL/COMP SIMPLE EA ADDL,,30,,,$269.52,$0.00,1,0,1,20170101,,
11740,CPT,EVACUATION SUBUNGUAL HEMATOMA,,30,,,$369.87,$0.00,1,0,1,20170101,,
11750,CPT,EXCISION NAIL MATRIX PERMANENT REMOVAL,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11755,CPT,BIOPSY NAIL UNIT SEPARATE PROCEDURE,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11760,CPT,REPAIR NAIL BED,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
11762,CPT,RECONSTRUCTION NAIL BED W/GRAFT,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
11765,CPT,WEDGE EXCISION SKIN NAIL FOLD,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11770,CPT,EXCISION PILONIDAL CYST/SINUS SIMPLE,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11771,CPT,EXCISION PILONIDAL CYST/SINUS EXTENSIVE,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11772,CPT,EXCISION PILONIDAL CYST/SINUS COMPLICATED,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11900,CPT,INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS,,30,,,$561.11,$0.00,1,0,1,20170101,,
11901,CPT,INJECTION INTRALESIONAL >7 LESIONS,,30,,,$561.11,$0.00,1,0,1,20170101,,
11920,CPT,TATTOOING INCL MICROPIGMENTATION 6.0 CM/<,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
11921,CPT,TATTOOING INCL MICROPIGMENTATION 6.1-20.0 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
11922,CPT,TATTOOING INCL MICROPIGMENTATION EA 20.0 CM,,30,,,"$11,107.02",$0.00,1,0,1,20170101,,
11950,CPT,SUBCUTANEOUS INJECTION FILLING MATERIAL 1 CC/<,,30,,,$561.11,$0.00,1,0,1,20170101,,
11951,CPT,SUBCUTANEOUS INJECTION FILLING MATRL 1.1-5.0 CC,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
11952,CPT,SUBCUTANEOUS INJECTION FILLING MATRL 5.1-10.0CC,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
11954,CPT,SUBCUTANEOUS INJECTION FILLING MATRL >10.0 CC,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11960,CPT,INSERTION TISSUE EXPANDER INCL SBSQ XPNSJ,,30,,,"$9,325.74",$0.00,1,0,1,20170101,,
11970,CPT,REPLACEMENT TISS EXPANDER PERMANENT PROSTHESIS,,30,,,"$21,658.38",$0.00,1,0,1,20170101,,
11971,CPT,REMOVAL TISS EXPANDER W/O INSERTION PROSTHESIS,,30,,,"$10,814.34",$0.00,1,0,1,20170101,,
11976,CPT,REMOVAL IMPLANTABLE CONTRACEPTIVE CAPSULES,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11980,CPT,SUBCUTANEOUS HORMONE PELLET IMPLANTATION,,30,,,"$1,533.00",$0.00,1,0,1,20170101,,
11981,CPT,INSJ NON-BIODEGRADABLE DRUG DELIVERY IMPLANT,,30,,,$642.10,$0.00,1,0,1,20170101,,
11982,CPT,REMOVAL NON-BIODEGRADABLE DRUG DELIVERY IMPLANT,,30,,,"$1,533.00",$0.00,1,0,1,20170101,,
11983,CPT,RMVL W/RINSJ NON-BIODEGRADABLE DRUG DLVR IMPLT,,30,,,"$1,533.00",$0.00,1,0,1,20170101,,
12001,CPT,SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<,,30,,,$561.11,$0.00,1,0,1,20170101,,
12002,CPT,SMPL REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.6-7.5CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12004,CPT,SIMPLE RPR SCALP/NECK/AX/GENIT/TRUNK 7.6-12.5CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12005,CPT,SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 12.6-20.0CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12006,CPT,SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 20.1-30.0CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12007,CPT,SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK >30.0CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12011,CPT,SIMPLE REPAIR F/E/E/N/L/M 2.5CM/<,,30,,,$561.11,$0.00,1,0,1,20170101,,
12013,CPT,SIMPLE REPAIR F/E/E/N/L/M 2.6CM-5.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12014,CPT,SIMPLE REPAIR F/E/E/N/L/M 5.1CM-7.5 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12015,CPT,SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12016,CPT,SIMPLE REPAIR F/E/E/N/L/M 12.6CM-20.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12017,CPT,SIMPLE REPAIR F/E/E/N/L/M 20.1CM-30.0 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12018,CPT,SIMPLE REPAIR F/E/E/N/L/M >30.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
12020,CPT,TX SUPERFICIAL WOUND DEHISCENCE SIMPLE CLOSURE,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
12021,CPT,TX SUPERFICIAL WOUND DEHISCENCE W/PACKING,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12031,CPT,REPAIR INTERMEDIATE S/A/T/E 2.5 CM/<,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12032,CPT,REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12034,CPT,REPAIR INTERMEDIATE S/A/T/E 7.6-12.5 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12035,CPT,REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12036,CPT,REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
12037,CPT,REPAIR INTERMEDIATE S/A/T/E >30.0 CM,,30,,,"$9,325.74",$0.00,1,0,1,20170101,,
12041,CPT,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/<,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12042,CPT,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12044,CPT,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
12045,CPT,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 12.6-20 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
12046,CPT,RPR INTERMEDIATE N/H/F/XTRNL GENT 20.1-30.0 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12047,CPT,REPAIR INTERMEDIATE N/H/F/XTRNL GENT >30.0 CM,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
12051,CPT,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.5 CM/<,,30,,,$561.11,$0.00,1,0,1,20170101,,
12052,CPT,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.6-5.0 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12053,CPT,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12054,CPT,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 7.6-12.5 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12055,CPT,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 12.6-20.0CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12056,CPT,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 20.1-30.0CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
12057,CPT,REPAIR INTERMEDIATE F/E/E/N/L&/MUC >30.0 CM,,30,,,$561.11,$0.00,1,0,1,20170101,,
13100,CPT,REPAIR COMPLEX TRUNK 1.1-2.5 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
13101,CPT,REPAIR COMPLEX TRUNK 2.6-7.5 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
13102,CPT,REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/<,,30,,,"$1,619.86",$0.00,1,0,1,20170101,,
13120,CPT,REPAIR COMPLEX SCALP/ARM/LEG 1.1-2.5 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
13121,CPT,REPAIR COMPLEX SCALP/ARM/LEG 2.6-7.5 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
13122,CPT,REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<,,30,,,"$1,575.55",$0.00,1,0,1,20170101,,
13131,CPT,REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 1.1-2.5 CM,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
13132,CPT,REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 2.6-7.5 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
13133,CPT,REPAIR COMPLEX F/C/C/M/N/AX/G/H/F EA ADDL 5 CM/<,,30,,,"$1,713.21",$0.00,1,0,1,20170101,,
13151,CPT,REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.1-2.5 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
13152,CPT,REPAIR COMPLEX EYELID/NOSE/EAR/LIP 2.6-7.5 CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
13153,CPT,REPAIR COMPLX EYELID/NOSE/EAR/LIP EA ADDL 5 CM/<,,30,,,"$1,795.92",$0.00,1,0,1,20170101,,
13160,CPT,SECONDARY CLOSURE SURG WOUND/DEHSN EXTSV/COMPLIC,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14000,CPT,ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14001,CPT,ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14020,CPT,ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14021,CPT,ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14040,CPT,ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14041,CPT,ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14060,CPT,ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14061,CPT,ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
14301,CPT,ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM,,30,,,"$9,325.74",$0.00,1,0,1,20170101,,
14302,CPT,ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM/<,,30,,,"$5,243.33",$0.00,1,0,1,20170101,,
14350,CPT,FILLETED FINGER/TOE FLAP W/PREPJ RECIPIENT SITE,,30,,,"$9,325.74",$0.00,1,0,1,20170101,,
15002,CPT,PREP SITE TRUNK/ARM/LEG 1ST 100 SQ CM/1PCT,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
15003,CPT,PREP SITE TRUNK/ARM/LEG ADDL 100 SQ CM/1PCT,,30,,,"$3,012.15",$0.00,1,0,1,20170101,,
15004,CPT,PREP SITE F/S/N/H/F/G/M/D GT 1ST 100 SQ CM/1PCT,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
15005,CPT,PREP SITE F/S/N/H/F/G/M/D GT ADDL 100 SQ CM/1PCT,,30,,,"$3,383.27",$0.00,1,0,1,20170101,,
15040,CPT,HARVEST SKIN TISSUE CLTR SKIN AGRFT 100 CM/<,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
15050,CPT,PINCH GRAFT 1/MLT SM ULCER TIP/OTH AREA 2CM,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
15100,CPT,SPLIT AGRFT T/A/L 1ST 100 CM/&/1% BDY INFT/CHLD,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
15101,CPT,SPLIT AGRFT T/A/L EA 100 CM/EA 1% BDY INFT/CHLD,,30,,,"$4,187.95",$0.00,1,0,1,20170101,,
15110,CPT,EPIDRM AGRFT T/A/L 1ST 100 CM/&/1% BDY INFT/CHLD,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
15111,CPT,EPIDRM AGRFT T/A/L EA 100 CM/EA 1% BDY INFT/CHLD,,30,,,"$3,988.95",$0.00,1,0,1,20170101,,
15115,CPT,EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/<,,30,,,"$7,697.79",$0.00,1,0,1,20170101,,
15116,CPT,EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT EA 100 CM,,30,,,"$3,852.63",$0.00,1,0,1,20170101,,
15120,CPT,SPLIT AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/</1 %,,30,,,"$9,325.74",$0.00,1,0,1,20170101,,
15121,CPT,SPLIT AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/EA 1 %,,30,,,"$4,751.10",$0.00,1,0,1,20170101,,
