#,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",DATE REVIEWED FOR REDACTION,REDACTED INFO IN FOIA RELEASE
1,TRUE,2015-01-05,VERIFIED,IB*2*533,486,ROUTINE,INTEGRATED BILLING,,,
2,TRUE,2015-01-05,VERIFIED,LEX*2*98,89,ROUTINE,CLINICAL LEXICON,LEX_2_98.GBLs,2015-01-05,YES
3,TRUE,2015-01-05,VERIFIED,ICPT*6*70,68,INFORMATIONAL,CPT CODES,LEX_2_98.GBLs,2015-01-05,YES
4,TRUE,2015-01-05,VERIFIED,IB*2*532,487,ROUTINE,INTEGRATED BILLING,,,
5,TRUE,2015-01-05,VERIFIED,PRS*4*140,131,ROUTINE,PAID,,,
6,TRUE,2015-01-07,VERIFIED,EC*2*125,119,ROUTINE,EVENT CAPTURE,,,
7,TRUE,2015-01-07,VERIFIED,DG*5.3*859,788,ROUTINE,REGISTRATION,,,
8,TRUE,2015-01-07,VERIFIED,DG*5.3*872,789,ROUTINE,REGISTRATION,,,
9,TRUE,2015-01-08,VERIFIED,LR*5.2*444,356,ROUTINE,LABORATORY,,,
10,TRUE,2015-01-08,VERIFIED,LR*5.2*439,357,ROUTINE,LABORATORY,,,
11,TRUE,2015-01-08,VERIFIED,NHIN*1*4,3,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,
12,TRUE,2015-01-12,VERIFIED,PREC*5*1,1,OTHER,PHARMACY ENTERPRISE CUSTOMIZATION SYSTEM,,,
13,TRUE,2015-01-12,VERIFIED,PSN*4*423,406,ROUTINE,NATIONAL DRUG FILE,NDF4P432.KIDs,2015-01-12,YES
14,TRUE,2015-01-13,VERIFIED,DVBA*2.7*187,165,ENHANCEMENT,AMIE,DVBA_217_P_187_12.ZIPs,2015-01-13,YES
15,TRUE,2015-01-14,VERIFIED,IB*2*537,488,ROUTINE,INTEGRATED BILLING,,,
16,TRUE,2015-01-14,VERIFIED,XU*8*656,515,INFORMATIONAL,VISTA KERNAL,,,
17,TRUE,2015-01-14,VERIFIED,ICD*18*77,71,ROUTINE,DRG GROUPER,,,
18,TRUE,2015-01-15,VERIFIED,PXRM*2*38,34,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_38.KIDs,2015-01-15,YES
19,TRUE,2015-01-21,VERIFIED,PSS*1*177,164,ROUTINE,PHARMACY DATA MANAGEMENT,,,
20,TRUE,2015-01-21,VERIFIED,PSN*4*434,407,INFORMATIONAL,NATIONAL DRUG FILE,,,
21,TRUE,2015-01-21,VERIFIED,PSO*7*428,372,INFORMATIONAL,OUTPATIENT PHARMACY,,,
22,TRUE,2015-01-22,VERIFIED,VBEC*1*78,77,INFORMATIONAL,VBECS,,,
26,TRUE,2015-01-26,VERIFIED,DG*5.3*895,790,ROUTINE,REGISTRATION,,,
29,TRUE,2015-01-28,VERIFIED,XT*7.3*137,110,ROUTINE,KERNEL TOOLKIT,,,
30,TRUE,2015-01-28,VERIFIED,OR*3*398,350,ROUTINE,ORDER ENTRY/RESULTS REPORTING,OR_398_1BD_66.KID,2015-01-28,NO
86,TRUE,2015-04-01,VERIFIED,ICPT*6*71,69,INFORMATIONAL,CPT CODES,LEX_2_99.GBLs,2015-04-01,YES,
87,TRUE,2015-04-01,VERIFIED,EAS*1*130,102,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,
88,TRUE,2015-04-06,VERIFIED,PSN*4*434,417,ROUTINE,NATIONAL DRUG FILE,NDF4P434.KIDs,2015-04-14,YES,
89,TRUE,2015-04-08,VERIFIED,DG*5.3*886,792,ROUTINE,REGISTRATION,,,,
90,TRUE,2015-04-09,VERIFIED,MAG*3*150,111,ROUTINE,IMAGING,MAG3_0P150.KIDs,2015-04-14,YES,
91,TRUE,2015-04-13,VERIFIED,PSB*3*81,67,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,,,,
92,TRUE,2015-04-13,VERIFIED,SD*5.3*630,520,ROUTINE,SCHEDULING,,,,
93,TRUE,2015-04-15,VERIFIED,MAG*3*154,112,ROUTINE,IMAGING,MAG3_0P154.KIDs,2015-04-15,YES,
94,FALSE,2015-04-15,VERIFIED,DSIR*8.2*6,6,ROUTINE,RELEASE OF INFORMATION,PROHIBITED DUE TO COPYRIGHT,,,
95,TRUE,2015-04-15,VERIFIED,PSB*3*84,68,INFORMATIONAL,BAR CODE MEDICATION ADMINISTRATION,,,,
96,TRUE,2015-04-16,VERIFIED,SD*5.3*632,521,INFORMATIONAL,SCHEDULING,,,,
97,FALSE,2015-04-16,VERIFIED,DSIR*8.2*7,7,INFORMATIONAL,RELEASE OF INFORMATION,PROHIBITED DUE TO COPYRIGHT,,,
98,TRUE,2015-04-16,VERIFIED,PRS*4*141,132,ROUTINE,PAID,,,,
99,TRUE,2015-04-17,VERIFIED,DVBA*2.7*189,167,ROUTINE,AMIE,DVBA_27_P189_03_SCRUBBED.ZIP,2015-04-20,YES,
100,TRUE,2015-04-20,VERIFIED,PSN*4*435,418,ROUTINE,NATIONAL DRUG FILE,NDF4P435.KID,2015-04-20,NO,
101,TRUE,2015-04-20,VERIFIED,PSN*4*436,419,ROUTINE,NATIONAL DRUG FILE,NDF4P436.KIDs,2015-04-20,YES,
102,TRUE,2015-04-21,VERIFIED,PSB*3*72,69,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,,,,
103,TRUE,2015-04-21,VERIFIED,GMRC*3*82,70,ROUTINE,CONSULTS REQUEST TRACKING,,,,
104,TRUE,2015-04-21,VERIFIED,TIU*1*277,262,ROUTINE,TEXT INTEGRATION UTILITY,,,,
105,TRUE,2015-04-22,VERIFIED,PSB*3*80,70,ROUTINE,BAR CODE MEDICATION ADMINISTRATION,,,,
106,TRUE,2015-04-23,VERIFIED,TBI*2*10,6,INFORMATIONAL,TRAUMATIC BRAIN INJURY,,,,
107,TRUE,2015-04-27,VERIFIED,PX*1*208,157,DATA DICTIONARY,PATIENT CARE ENCOUNTER,,,,
108,TRUE,2015-04-28,VERIFIED,GMRC*3*75,71,ROUTINE,CONSULTS REQUEST TRACKING,,,,
109,TRUE,2015-04-29,VERIFIED,VBEC*1*81,80,INFORMATIONAL,VBECS,,,,
110,TRUE,2015-05-01,VERIFIED,PRC*5.1*189,164,ROUTINE,IFCAP,ENTERED IN ERROR 6/29/15 MSG DO NOT INSTALL,,,
111,TRUE,2015-05-04,VERIFIED,DG*5.3*892,793,ROUTINE,REGISTRATION,,,,
112,TRUE,2015-05-05,VERIFIED,MAG*3*152,113,ROUTINE,IMAGING,MAG3_0P152.KIDs,2015-05-05,YES,
113,TRUE,2015-05-06,VERIFIED,PSN*4*406,420,ROUTINE,NATIONAL DRUG FILE,,,,
114,TRUE,2015-05-11,VERIFIED,PSN*4*438,421,ROUTINE,NATIONAL DRUG FILE,NDF4P438.KIDs,2015-05-13,YES,
115,TRUE,2015-05-12,VERIFIED,IB*2*516,495,ROUTINE,INTEGRATED BILLING,,,,
116,TRUE,2015-05-14,VERIFIED,PRCA*4.5*298,270,ROUTINE,ACCOUNTS RECEIVABLE,BPS_IB_PRCA_EPAYMENTS_BUNDLE_1_0_KIDs,2015-05-14,YES,
117,TRUE,2015-05-14,VERIFIED,BPS*1*17,16,DATA DICTIONARY,HIPPA,BPS_IB_PRCA_EPAYMENTS_BUNDLE_1_0_KIDs,2015-05-14,,
128,TRUE,2015-05-14,VERIFIED,PRC*5.1*182,165,ROUTINE,IFCAP,,,,
119,TRUE,2015-05-15,VERIFIED,PXRM*2*59,38,INFORMATIONAL,CLINICAL REMINDERS,,,,
120,TRUE,2015-05-18,VERIFIED,NHIN*1*6,4,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,,
121,TRUE,2015-05-18,VERIFIED,PX*1*205,158,ROUTINE,PATIENT CARE ENCOUNTER,,,,
122,TRUE,2015-05-19,VERIFIED,OR*3*391,352,ENHANCEMENT,ORDER ENTRY/RESULTS REPORTING,"OR_30_391.KID
OR_30_391_scrubbed.SIP",2015-05-20,YES,
123,TRUE,2015-05-20,VERIFIED,YS*5.01*118,93,INFORMATIONAL,MENTAL HEALTH,,,,
124,TRUE,2015-05-21,VERIFIED,ICD*18*78,73,ROUTINE,DRG GROUPER,,,,
125,TRUE,2015-05-21,VERIFIED,WEBB*1*4,4,INFORMATIONAL,BED MANAGEMENT SOLUTION,,,,
126,TRUE,2015-05-21,VERIFIED,PXRM*2*51,39,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_51.KIDs,2015-05-21,YES,
127,TRUE,2015-05-21,VERIFIED,VBEC*1*82,81,INFORMATIONAL,VBECS,,,
129,TRUE,2015-05-21,VERIFIED,PXRM*2*52,40,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_52.KIDs,2015-05-21,YES
130,TRUE,2015-05-26,VERIFIED,YS*5.01*113,94,ROUTINE,MENTAL HEALTH,,,
131,TRUE,2015-05-26,VERIFIED,PSN*4*439,422,ROUTINE,NATIONAL DRUG FILE,NDF4P439.KID,,
132,TRUE,2015-05-26,VERIFIED,PSN*4*440,423,ROUTINE,NATIONAL DRUG FILE,NDF4P440.KIDs,2015-06-01,YES
139,TRUE,2015-05-27,VERIFIED,OHRS*1.4*13,13,INFORMATIONAL,CISS-OHRS,,,
140,TRUE,2015-06-01,VERIFIED,PSJ*5*259,268,ROUTINE,INPATIENT MEDICATIONS,,,
141,TRUE,2015-06-05,VERIFIED,HBH*1*27,24,ROUTINE,HOSPITAL BASED HOME CARE,,,
142,TRUE,2015-06-05,VERIFIED,VBEC*1*54,82,INFORMATIONAL,VBECS,,2015-06-08,YES
143,TRUE,2015-06-08,VERIFIED,PSN*4*442,424,ROUTINE,NATIONAL DRUG FILE,NDF4P442.KIDs,2015-06-15,YES
144,TRUE,2015-06-10,VERIFIED,LA*5.2*85,63,ROUTINE,LAB INSTRUMENTS,,,
145,TRUE,2015-06-10,VERIFIED,ROR*1.5*27,25,ROUTINE,CLINICAL REGISTRIES,,,
133,TRUE,2015-06-10,VERIFIED,VDEF*1*12,4,ROUTINE,VISTA DATA EXTRACTION,,,
134,TRUE,2015-06-11,VERIFIED,XWB*1.1860,49,INFORMATIONAL,RPB BROKER,,,
135,TRUE,2015-06-11,VERIFIED,LA*5.2*86,64,ROUTINE,LAB INSTRUMENTS,,,
136,TRUE,2015-06-12,VERIFIED,RA*5*122,108,ROUTINE,RADIOLOGY,,,
137,TRUE,2015-06-15,VERIFIED,PSS*1*190,165,ROUTINE,PHARMACY DATA MANAGEMENT,,,
138,TRUE,2015-06-15,VERIFIED,PSN*4*430,425,ROUTINE,NATIONAL DRUG FILE,,,
146,TRUE,2015-06-16,VERIFIED,DG*5.3*905,794,PATCH FOR A PATCH,REGISTRATION,,,
147,TRUE,2015-06-17,VERIFIED,FB*3.5*153,132,ROUTINE,FEE BASIS,,,
148,TRUE,2015-06-18,VERIFIED,ONC*2.2*4,2,ROUTINE,ONCOLOGY,ONC22P4.KIDs,2015-06-18,YES
149,TRUE,2015-06-18,VERIFIED,MHV*1*19,13,INFORMATIONAL,MYHEALTHEVET,,,
150,TRUE,2015-06-18,VERIFIED,VBEC*1*83,83,INFORMATIONAL,VBECS,,,
151,TRUE,2015-06-18,VERIFIED,PSO*7*439,374,INFORMATIONAL,OUTPATIENT PHARMACY,PSO_7_P439_scrubbed.ZIP,2015-06-18,YES
152,TRUE,2015-06-18,VERIFIED,NHIN*1*7,5,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,
153,TRUE,2015-06-22,VERIFIED,SD*5.3*622,522,DATA DICTIONARY,SCHEDULING,,,
154,TRUE,2015-06-22,VERIFIED,PSN*4*443,426,ROUTINE,NATIONAL DRUG FILE,NDF4P443.KID,2015-06-23,NO
155,TRUE,2015-06-22,VERIFIED,PSN*4*444,427,ROUTINE,NATIONAL DRUG FILE,NDF4P444.KID,2015-06-23,NO
156,TRUE,2015-06-24,VERIFIED,SD*5.3*624,523,ROUTINE,SCHEDULING,,,
157,TRUE,2015-06-24,VERIFIED,ICD*18*80,74,INFORMATIONAL,DRG GROUPER,,,
158,TRUE,2015-06-25,VERIFIED,IB*2*543,497,ROUTINE,INTEGRATED BILLING,,,
159,TRUE,2015-06-30,VERIFIED,LEX*2*100,92,ENHANCEMENT,CLINICAL LEXICON,LEX_2_100.GBLs,2015-06-24,YES
160,TRUE,2015-06-30,VERIFIED,ICPT*6*72,70,INFORMATIONAL,CPT CODES,LEX_2_100.GBLs,2015-06-24,YES,
161,FALSE,2015-07-07,VERIFIED,DSIF*3.2*49,29,OTHER,FEE BASIS CLAIM SYSTEM,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,
162,TRUE,2015-07-07,VERIFIED,PSN*4*445,428,ROUTINE,NATIONAL DRUG FILE,NDF4P445.KIDs,2015-07-07,YES,
163,TRUE,2015-07-07,VERIFIED,SD*5.3*635,524,DATA DICTIONARY,SCHEDULING,,,,
164,TRUE,2015-07-07,VERIFIED,PRCHDISCNT,,OTHER,IFCAP,"PRC INPUT TEMPLATE CORRECTION
PRCHDISCNT.KID",2015-07-07,NO,
165,TRUE,2015-07-08,VERIFIED,PREN*1.1*3,3,INFORMATIONAL,PHARMACY PRODUCT SYSTEM,,,,
166,TRUE,2015-07-08,VERIFIED,WEBN*1.1*2,2,INFORMATIONAL,NATIONAL UTILIZATION MANAGEMNT INTEGRATON,,,,
167,TRUE,2015-07-09,VERIFIED,PXRM*2*43,41,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_43.KID,2015-07-10,NO,
168,TRUE,2015-07-13,VERIFIED,DVBA*2.7*190,168,ROUTINE,AUTOMATED INFORMATION COLLECTION SYSTEM,DVBA_27_P190_04_SCRUB.ZIP,2015-07-16,YES,
169,FALSE,2015-07-13,VERIFIED,ROEB*2*1,1,INFORMATIONAL,BREAST CANCER REGISTRY,,,,
170,TRUE,2015-07-13,VERIFIED,DGBT*1*26,26,OTHER,BENEFICIARY TRAVEL,,,,
171,TRUE,2015-07-14,VERIFIED,EC*2*126,120,ROUTINE,EVENT CAPTURE,EC_2_P126_SCRUB.ZIP,2015-07-16,YES,
172,TRUE,2015-07-14,VERIFIED,EAS*1*132,103,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,
173,TRUE,2015-07-20,VERIFIED,PSN*4*446,429,ROUTINE,NATIONAL DRUG FILE,NDF4P446.KID,2015-07-20,NO,
174,TRUE,2015-07-20,VERIFIED,PSN*4*447,430,ROUTINE,NATIONAL DRUG FILE,NDF4P447.KIDs,2015-07-20,YES,
175,TRUE,2015-07-23,VERIFIED,TBI*2*11,7,INFORMATIONAL,TRAUMATIC BRAIN INJURY,,,,
176,TRUE,2015-07-23,VERIFIED,PSJ*5*255,269,ROUTINE,INPATIENT MEDICATIONS,,,,
177,FALSE,2015-07-23,VERIFIED,DSIV*2.2*11,10,ROUTINE,INSURANCE CAPTURE BUFFER,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,
178,TRUE,2015-07-24,VERIFIED,VBEC*1*84,84,INFORMATIONAL,VBECS,,,,
179,FALSE,2015-07-30,VERIFIED,XM*DBA*179,173,DATABASE,MAILMAN DATABASE,PERTAINS ONLY TO VA FACILITIES,,,
180,TRUE,2015-08-03,VERIFIED,WEBC*1*1,1,INFORMATIONAL,VETERANS HEALTH ID CARD,,,,
181,TRUE,2015-08-05,VERIFIED,VPS*1*4,3,ROUTINE,VETERANS POINT OF SERVICE,VPS_1_0_4-5-3-20150528.KID,2015-08-05,NO,
182,TRUE,2015-08-05,VERIFIED,VPS*1*5,4,ROUTINE,VETERANS POINT OF SERVICE,VPS_1_0_4-5-3-20150528.KID,2015-08-05,NO,
183,TRUE,2015-08-05,VERIFIED,VPS*1*3,5,ROUTINE,VETERANS POINT OF SERVICE,VPS_1_0_4-5-3-20150528.KID,2015-08-05,NO,
184,TRUE,2015-08-10,VERIFIED,PSN*4*449,431,ROUTINE,NATIONAL DRUG FILE,NDF4P449.KIDs,2015-08-11,YES,
185,FALSE,2015-08-12,VERIFIED,DENT*1.2*66,65,ROUTINE,DENTAL,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,,
186,TRUE,2015-08-12,VERIFIED,RA*5*121,109,ROUTINE,RADIOLOGY,,,,
187,TRUE,2015-08-12,VERIFIED,WEBV*1*33,28,INFORMATIONAL,VISTA WEB,,,,
188,TRUE,2015-08-13,VERIFIED,ICD*18*79,75,ROUTINE,DRG GROUPER,,,,
189,TRUE,2015-08-13,VERIFIED,HBH*1*28,25,ROUTINE,HOSPITAL BASED HOME CARE,,,,
190,TRUE,2015-08-13,VERIFIED,MD*1*37,27,ROUTINE,CLINICAL PROCEDURES,,,,
191,TRUE,2015-08-18,VERIFIED,FB*3.5*155,133,ROUTINE,FEE BASIS,,,,
192,TRUE,2015-08-20,VERIFIED,FH*5.5*39,38,ROUTINE,NUTRITION & FOOD SERVICES (DIETETICS),,,,
193,TRUE,2015-08-20,VERIFIED,MHV*1*11,14,ENHANCEMENT,MYHEALTHEVET,,,,
194,TRUE,2015-08-20,VERIFIED,VBEC*1*85,85,INFORMATIONAL,VBECS,,,,
195,TRUE,2015-08-24,VERIFIED,PSN*4*450,432,ROUTINE,NATIONAL DRUG FILE,NDF4P450.KID,2015-08-24,NO,
196,TRUE,2015-08-24,VERIFIED,PSN*4*451,433,ROUTINE,NATIONAL DRUG FILE,NDF4P451.KIDs,2015-08-24,YES,
197,TRUE,2015-08-26,VERIFIED,DG*5.3*894,795,ENHANCEMENT,REGISTRATION,DG_53_P894.KID,2015-08-26,NO,
198,TRUE,2015-08-26,VERIFIED,IVM*2*158,134,ENHANCEMENT,INCOME VERIFICATION MATCH,DG_53_P894.KID,2015-08-26,NO,
199,TRUE,2015-08-27,VERIFIED,IB*2*551,498,ROUTINE,INTEGRATED BILLING,,,,
200,TRUE,2015-08-28,VERIFIED,VIAB*1*4,4,INFORMATIONAL,VISTA INTEGRATION DATA ADAPTOR,,,,
201,TRUE,2015-09-02,VERIFIED,XU*8*654,517,ROUTINE,VISTA KERNAL,,,,
202,TRUE,2015-09-02,VERIFIED,GMTS*2.7*111,104,ROUTINE,HEALTH SUMMARY,ICD_10_PTF_MODIFICATIONS.KIDs,2015-09-08,YES,
203,TRUE,2015-09-02,VERIFIED,DG*5.3*884,796,ROUTINE,REGISTRATION,ICD_10_PTF_MODIFICATIONS.KIDs,2015-09-08,YES,
204,TRUE,2015-09-02,VERIFIED,OR*3*406,353,ROUTINE,ORDER ENTRY/RESULTS REPORTING,ICD_10_PTF_MODIFICATIONS.KIDs,2015-09-08,YES,
205,TRUE,2015-09-02,VERIFIED,LR*5.2*442,362,ROUTINE,LABORATORY,ICD_10_PTF_MODIFICATIONS.KIDs,2015-09-08,YES,
206,TRUE,2015-09-02,VERIFIED,IB*2*522,499,ROUTINE,INTEGRATED BILLING,ICD_10_PTF_MODIFICATIONS.KIDs,2015-09-08,YES,
207,TRUE,2015-09-02,VERIFIED,ROR*1.5*25,26,ROUTINE,CLINICAL REGISTRIES,ICD_10_PTF_MODIFICATIONS.KIDs,2015-09-08,YES,
208,TRUE,2015-09-02,VERIFIED,HDI*1*14,10,ROUTINE,HEALTH DATA INFORMATICS,,,,
209,TRUE,2015-09-03,VERIFIED,PX*1*209,159,ROUTINE,PATIENT CARE ENCOUNTER,,,,
210,TRUE,2015-09-03,VERIFIED,PX*1*206,160,ROUTINE,PATIENT CARE ENCOUNTER,PX_1_206.KID,2015-09-08,NO,
211,TRUE,2015-09-08,VERIFIED,PSN*4*452,434,ROUTINE,NATIONAL DRUG FILE,NDF4P452.KIDs,2015-09-08,YES,
212,TRUE,2015-09-10,VERIFIED,RMIM*1*7,7,OTHER,FUNCTIONAL INDEPENDENCE,,,,
213,TRUE,2015-09-10,VERIFIED,VPR*1*5,4,ROUTINE,VIRTUAL PATIENT RECORD,,,,
214,TRUE,2015-09-14,VERIFIED,PXRM*2*61,42,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_61.KIDs,2015-09-14,YES,
215,FALSE,2015-09-14,VERIFIED,MAG*3*156,114,ROUTINE,IMAGING,This was released to Test Sites only - is considered Code-In-Flight and will not be posted until a later date.,2015-09-14,YES,
216,TRUE,2015-09-14,VERIFIED,DGBT*1*25,27,ROUTINE,BENEFICIARY TRAVEL,,,,
217,TRUE,2015-09-15,VERIFIED,OR*3*418,354,OTHER,"ORDER ENTRY/RESULTS REPORTING
CPRS 30A","CPRS 30A emergency patch scrubbed.zip
found in OR and CPRS folders",2015-09-15,YES,
218,TRUE,2015-09-15,VERIFIED,XU*8*655,518,ROUTINE,VA KERNEL,XU_8_655_SEQ_518.KIDs/TXTs,2015-09-15,YES,
219,TRUE,2015-09-16,VERIFIED,PSS*1*119,166,ROUTINE,PHARMACY DATA MANAGEMENT,,,,
220,TRUE,2015-09-16,VERIFIED,PSJ*5*194,270,ROUTINE,INPATIENT MEDICATIONS,PSJ_194_PSO_282.KIDs,2015-09-16,YES,
221,TRUE,2015-09-16,VERIFIED,PSO*7*282,375,ROUTINE,OUTPATIENT PHARMACY,PSJ_194_PSO_282.KIDs,2015-09-16,YES,
222,TRUE,2015-09-16,VERIFIED,EC*2*128,121,ROUTINE,EVENT CAPTURE,,,,
223,TRUE,2015-09-16,VERIFIED,SD*5.3*637,525,OTHER,SCHEDULING,,,,
224,TRUE,2015-09-16,VERIFIED,DG*5.3*902,797,ENHANCEMENT,REGISTRATION,,,,
